data(p149):a2(A,2):-0.3271161170993295 
data(p499):a6(A,c):1.2655142860334543 
data(p499):a7(A,v):0.26971539931080624 
data(p499):a9(A,t):1.269877296160931 
data(p499):a10(A,t):-0.4622651494249507 
data(p499):a12(A,t):-0.3285438755947229 
data(p499):a13(A,g):-0.07401999135944848 
data(p273):a2(A,0):0.1231347910119868 
data(p273):a3(A,2):-0.029105539711504744 
data(p273):a8(A,0):-0.40816733136867256 
data(p273):a11(A,0):-0.36657576058504193 
data(p273):a14(A,1):-1.0953697833352307 
data(p273):a15(A,0):0.37101896500656095 
data(p273):a1(A,b):0.27652590831012136 
data(p273):a4(A,y):-1.3844792223274573 
data(p273):a5(A,p):-0.8265279624440515 
data(p273):a6(A,m):-0.06286665695686872 
data(p273):a7(A,v):0.2332722058551743 
data(p273):a9(A,f):-3.041570497992438 
data(p273):a10(A,f):-0.11588803434848276 
data(p273):a12(A,f):-0.11934620886462066 
data(p273):a13(A,g):-0.19221149521314265 
data(p343):a2(A,1):0.4873474645132816 
data(p343):a3(A,1):-0.4740775635163219 
data(p343):a8(A,1):-1.9817586415370372 
data(p343):a11(A,0):-0.3925877912867635 
data(p343):a14(A,3):1.6414669803592068 
data(p343):a15(A,2):1.126746885219148 
data(p343):a1(A,b):0.7691021097143143 
data(p343):a4(A,u):-0.5601703792682766 
data(p343):a5(A,g):-0.22637091056545985 
data(p343):a6(A,i):-0.48800394033588723 
data(p343):a7(A,bb):0.1710098137250626 
data(p343):a9(A,f):-2.6674284410997164 
data(p343):a10(A,f):0.05323509379475593 
data(p343):a12(A,t):0.010045566712758847 
data(p343):a13(A,g):-0.2327607379954103 
data(p257):a2(A,0):1.0396736639204038 
data(p257):a3(A,3):-0.6195579398785218 
data(p257):a8(A,2):1.7016714284256524 
data(p257):a11(A,0):-0.3934631865817465 
data(p257):a14(A,1):-1.0782344559886776 
data(p257):a15(A,0):-0.2974338202829876 
data(p257):a1(A,b):0.6292276436391279 
data(p257):a4(A,u):-0.36955445320286523 
data(p257):a5(A,g):-0.1206243640371586 
data(p257):a6(A,c):0.6360941888090266 
data(p257):a7(A,v):-0.38830104433082135 
data(p257):a9(A,f):-2.511192659606243 
data(p257):a10(A,f):0.1174697212283038 
data(p257):a12(A,t):0.1008939048805533 
data(p257):a13(A,g):-0.12678681553491297 
data(p183):a2(A,0):-1.0210586732534765 
data(p183):a3(A,2):0.9631958507416385 
data(p183):a8(A,0):0.07974819345985074 
data(p183):a11(A,0):-0.29568522012328263 
data(p183):a14(A,1):-0.20612127548564124 
data(p183):a15(A,1):-0.3359024055272633 
data(p183):a1(A,a):2.1118096907200887 
data(p183):a4(A,u):-0.061732289074701685 
data(p183):a5(A,g):-0.1390286908182993 
data(p183):a6(A,q):-1.756955045261669 
data(p183):a7(A,v):0.35320286245213117 
data(p183):a9(A,t):1.8068694870896596 
data(p183):a10(A,t):-0.49316324949322743 
data(p183):a12(A,f):0.10993993042292494 
data(p183):a13(A,g):-0.11603342287086453 
data(p106):a2(A,3):-0.47884550101530493 
data(p106):a3(A,3):-1.0993824833709702 
data(p106):a8(A,0):-1.3191627021289705 
data(p106):a11(A,1):1.4290644664433119 
data(p106):a14(A,1):-0.784130320942894 
data(p106):a15(A,1):-0.7412170105012381 
data(p106):a1(A,b):0.10109193961490304 
data(p106):a4(A,u):-0.12317212880183351 
data(p106):a5(A,g):-0.16706825002162695 
data(p106):a6(A,e):0.019921264796526204 
data(p106):a7(A,z):0.0 
data(p106):a9(A,t):1.568660174361466 
data(p106):a10(A,t):-0.1057658265582331 
data(p106):a12(A,f):-0.10541929968298988 
data(p106):a13(A,g):-0.1065817893884498 
data(p301):a2(A,3):-0.0011380814990120643 
data(p301):a3(A,1):-1.0110859375192123 
data(p301):a8(A,3):2.765947197755557 
data(p301):a11(A,0):-0.42150261356022406 
data(p301):a14(A,0):-0.36869223134270523 
data(p301):a15(A,1):-0.6562317814156513 
data(p301):a1(A,a):1.3337189513888454 
data(p301):a4(A,u):-0.1495149481346447 
data(p301):a5(A,g):-0.16058200742331305 
data(p301):a6(A,ff):-0.23728643490337656 
data(p301):a7(A,ff):-0.21521103888590948 
data(p301):a9(A,f):-3.1427479210006317 
data(p301):a10(A,t):-0.0013304253863550856 
data(p301):a12(A,f):0.7352799937223571 
data(p301):a13(A,g):-0.1347882552258741 
data(p680):a2(A,0):0.29830202411713747 
data(p680):a3(A,1):-1.446951564718149 
data(p680):a8(A,0):-0.121904075121336 
data(p680):a11(A,0):-0.329595101544128 
data(p680):a14(A,0):1.0788092796392643 
data(p680):a15(A,0):0.4591777294525481 
data(p680):a1(A,a):0.981265249134827 
data(p680):a4(A,u):-0.2666973172465058 
data(p680):a5(A,g):-0.14957488526153973 
data(p680):a6(A,c):0.7504338879664688 
data(p680):a7(A,v):0.14386861527528372 
data(p680):a9(A,f):-2.800558088549517 
data(p680):a10(A,f):-0.35306339940447473 
data(p680):a12(A,f):0.602219355389353 
data(p680):a13(A,g):-0.12267696597956607 
data(p524):a2(A,0):-0.7190707356732081 
data(p524):a3(A,3):-0.7161334226992453 
data(p524):a8(A,2):0.16348371970699288 
data(p524):a11(A,1):0.8754134201377465 
data(p524):a14(A,0):0.1515087216053903 
data(p524):a15(A,2):0.3404494080711134 
data(p524):a1(A,a):1.2250549998237763 
data(p524):a4(A,u):-0.193036236120901 
data(p524):a5(A,g):-0.13468924437127278 
data(p524):a6(A,q):-2.287151812156027 
data(p524):a7(A,v):-0.15302198415017673 
data(p524):a9(A,t):1.5615862953680564 
data(p524):a10(A,t):-0.39908942292761673 
data(p524):a12(A,f):-0.07530178525650313 
data(p524):a13(A,g):-0.09778599635346259 
data(p241):a2(A,0):1.034715633282525 
data(p241):a3(A,3):-0.20220677808151216 
data(p241):a8(A,2):1.0635285178989484 
data(p241):a11(A,0):-0.3507405867783287 
data(p241):a14(A,0):1.3740583600639469 
data(p241):a15(A,0):0.24415349539921205 
data(p241):a1(A,b):0.21963363076374967 
data(p241):a4(A,y):-1.0946695436976095 
data(p241):a5(A,p):-0.7606460226068678 
data(p241):a6(A,c):0.4357397154733658 
data(p241):a7(A,v):-0.06757185031722665 
data(p241):a9(A,t):0.9024042029168059 
data(p241):a10(A,f):-0.4907715428290902 
data(p241):a12(A,f):-0.16114686301929987 
data(p241):a13(A,s):-0.17037193631581873 
data(p231):a2(A,1):1.2755292859642502 
data(p231):a3(A,2):0.41312080190180933 
data(p231):a8(A,1):-1.603799301056712 
data(p231):a11(A,1):1.4948639117243958 
data(p231):a14(A,0):0.38552060970330465 
data(p231):a15(A,2):0.417871856642092 
data(p231):a1(A,b):0.38398156672747474 
data(p231):a4(A,u):-0.18027553216180434 
data(p231):a5(A,g):-0.14249369676832044 
data(p231):a6(A,cc):1.0123176459851901 
data(p231):a7(A,v):0.402489113545875 
data(p231):a9(A,t):2.1428749254415336 
data(p231):a10(A,t):-0.16946261685311478 
data(p231):a12(A,f):0.1800313098064247 
data(p231):a13(A,g):-0.08398914634130414 
data(p154):a2(A,1):1.089291538783547 
data(p154):a3(A,1):-0.6432968083566613 
data(p154):a8(A,2):0.5900759479458466 
data(p154):a11(A,1):1.4979095347513836 
data(p154):a14(A,0):0.5610786509504246 
data(p154):a15(A,2):0.9255531031180286 
data(p154):a1(A,b):0.6921197614289493 
data(p154):a4(A,u):-0.25200165964804766 
data(p154):a5(A,g):-0.10930619013861627 
data(p154):a6(A,c):0.8416833373962987 
data(p154):a7(A,v):0.27240167974435386 
data(p154):a9(A,t):1.684311000524075 
data(p154):a10(A,t):-0.19332392479040011 
data(p154):a12(A,t):-0.012706274417341736 
data(p154):a13(A,g):-0.04359606482940335 
data(p327):a2(A,2):-0.4828560254784002 
data(p327):a3(A,1):-1.0963706040144015 
data(p327):a8(A,0):-0.6190498731062658 
data(p327):a11(A,0):-0.3937514280154903 
data(p327):a14(A,2):-0.04539227447293084 
data(p327):a15(A,1):-0.012177622013462347 
data(p327):a1(A,b):0.356444433735525 
data(p327):a4(A,y):-1.548602704883063 
data(p327):a5(A,p):-0.906760271781461 
data(p327):a6(A,c):0.21713321206978756 
data(p327):a7(A,v):0.5217324044973887 
data(p327):a9(A,f):-2.3588968989440504 
data(p327):a10(A,f):-0.345774600062015 
data(p327):a12(A,f):-0.27284168076632603 
data(p327):a13(A,g):-0.18383816350647975 
data(p206):a2(A,2):-0.22767199248624062 
data(p206):a3(A,3):-0.36518993452705156 
data(p206):a8(A,3):2.397062945124751 
data(p206):a11(A,1):0.882307368785505 
data(p206):a14(A,0):0.44034376124335983 
data(p206):a15(A,2):0.6159183312709621 
data(p206):a1(A,a):1.2722109522019924 
data(p206):a4(A,u):-0.13324060458788614 
data(p206):a5(A,g):-0.16635107851243158 
data(p206):a6(A,q):-1.6580769592932696 
data(p206):a7(A,h):1.1532281320919953 
data(p206):a9(A,t):1.8088210600558252 
data(p206):a10(A,t):-0.08435011931637626 
data(p206):a12(A,f):0.15245946568514052 
data(p206):a13(A,g):-0.11667408891975285 
data(p513):a2(A,3):-0.052263429046139634 
data(p513):a3(A,0):1.228256063949559 
data(p513):a8(A,2):0.15456072491505346 
data(p513):a11(A,0):-0.3758872570063447 
data(p513):a14(A,0):1.5672082957748237 
data(p513):a15(A,0):-0.8030465133212925 
data(p513):a1(A,a):1.0588770149817892 
data(p513):a4(A,u):-0.14784314505066576 
data(p513):a5(A,g):-0.15726092091506333 
data(p513):a6(A,c):0.632979101287573 
data(p513):a7(A,v):0.29764385663554904 
data(p513):a9(A,t):0.9570121115331897 
data(p513):a10(A,f):-1.088115835363014 
data(p513):a12(A,f):0.6301052873362935 
data(p513):a13(A,g):-0.03197236999252088 
data(p295):a2(A,0):-0.40106329646561284 
data(p295):a3(A,0):1.3480481512365714 
data(p295):a8(A,0):-1.4799899048165608 
data(p295):a11(A,0):-0.29311617768355086 
data(p295):a14(A,1):-0.5884352016330681 
data(p295):a15(A,1):-0.21177963661172333 
data(p295):a1(A,a):1.7744777926774287 
data(p295):a4(A,u):-0.20216643846420587 
data(p295):a5(A,g):-0.17523526894020225 
data(p295):a6(A,ff):-0.20894118502193376 
data(p295):a7(A,ff):-0.23439586933074086 
data(p295):a9(A,f):-2.9824357245891884 
data(p295):a10(A,t):-0.4225820077190985 
data(p295):a12(A,f):0.6621997749129915 
data(p295):a13(A,g):-0.13325992666901726 
data(p151):a2(A,3):0.3277169676342134 
data(p151):a3(A,0):0.11898147039420832 
data(p151):a8(A,1):-1.2757508404462432 
data(p151):a11(A,1):1.0793180398808828 
data(p151):a14(A,3):0.34820698429694813 
data(p151):a15(A,1):0.6165353781672859 
data(p151):a1(A,a):1.4537841901605943 
data(p151):a4(A,u):-0.31071616346072484 
data(p151):a5(A,g):-0.23006695892725793 
data(p151):a6(A,cc):1.3227857352766634 
data(p151):a7(A,h):0.6911035840602039 
data(p151):a9(A,t):1.3567753654952412 
data(p151):a10(A,t):-0.23956449826921192 
data(p151):a12(A,t):-0.39497358196747856 
data(p151):a13(A,g):-0.11193336986015356 
data(p157):a2(A,1):1.079368845402508 
data(p157):a3(A,2):0.815498760450738 
data(p157):a8(A,2):0.01249213660278191 
data(p157):a11(A,0):-0.335126406368666 
data(p157):a14(A,0):1.0730537174963781 
data(p157):a15(A,0):0.08120152893376385 
data(p157):a1(A,a):1.470552508463533 
data(p157):a4(A,y):-0.8476053643329735 
data(p157):a5(A,p):-0.6963155256036221 
data(p157):a6(A,x):1.192720661605914 
data(p157):a7(A,h):0.9011184760048674 
data(p157):a9(A,t):1.536539178570249 
data(p157):a10(A,t):0.047080480515781384 
data(p157):a12(A,f):0.12548435697047575 
data(p157):a13(A,g):-0.16796923952963896 
data(p164):a2(A,2):-0.5572077273894105 
data(p164):a3(A,1):-0.7316968106021055 
data(p164):a8(A,0):1.2914384007131872 
data(p164):a11(A,0):-0.33492296413531053 
data(p164):a14(A,3):1.5635633329854997 
data(p164):a15(A,0):-0.9164527743134979 
data(p164):a1(A,b):0.48290328551078865 
data(p164):a4(A,y):-0.9019505026048189 
data(p164):a5(A,p):-0.6693557886418853 
data(p164):a6(A,e):0.06480371005430745 
data(p164):a7(A,h):0.876787581649893 
data(p164):a9(A,t):1.1241857740628216 
data(p164):a10(A,f):-0.9359477959519026 
data(p164):a12(A,t):0.6574204340082975 
data(p164):a13(A,g):-0.20494873487881982 
data(p168):a2(A,2):0.5502937317118619 
data(p168):a3(A,0):0.6303427011244851 
data(p168):a8(A,0):0.7240632539604233 
data(p168):a11(A,0):-0.2747353726862447 
data(p168):a14(A,3):1.40912073709912 
data(p168):a15(A,2):2.309317250924838 
data(p168):a1(A,a):1.623324617048421 
data(p168):a4(A,u):-0.24855628579991815 
data(p168):a5(A,g):-0.20699576493757535 
data(p168):a6(A,cc):1.0498652643265727 
data(p168):a7(A,v):1.2254645950404932 
data(p168):a9(A,t):1.458198834561162 
data(p168):a10(A,f):-0.9265614468542198 
data(p168):a12(A,f):0.4234205081382872 
data(p168):a13(A,g):-0.05949245826115097 
data(p536):a2(A,2):-0.8977861908399762 
data(p536):a3(A,1):-1.5024450129590134 
data(p536):a8(A,0):0.3121377880297807 
data(p536):a11(A,0):-0.36600843180945547 
data(p536):a14(A,3):1.1403427949739526 
data(p536):a15(A,0):-1.11625244816978 
data(p536):a1(A,a):1.4357059505351235 
data(p536):a4(A,y):-1.0219454767427485 
data(p536):a5(A,p):-0.5889843677359171 
data(p536):a6(A,ff):-0.3133775262839364 
data(p536):a7(A,ff):-0.26041788167505703 
data(p536):a9(A,t):1.0346132149938307 
data(p536):a10(A,f):-1.2251130088942306 
data(p536):a12(A,f):-0.21069213245432705 
data(p536):a13(A,g):-0.23513435380859005 
data(p207):a2(A,3):0.4823717484220755 
data(p207):a3(A,0):1.2741832828662012 
data(p207):a8(A,0):-0.5185167140861675 
data(p207):a11(A,0):-0.2901586947405323 
data(p207):a14(A,2):-0.3317359192593828 
data(p207):a15(A,0):-0.5744147768005339 
data(p207):a1(A,a):1.8153627598418 
data(p207):a9(A,f):-1.3488058362527426 
data(p207):a10(A,f):-0.32071888500797185 
data(p207):a12(A,f):0.32337045545664544 
data(p207):a13(A,p):1.147882278795333 
data(p189):a2(A,2):0.518595785424854 
data(p189):a3(A,1):-0.9823330833553424 
data(p189):a8(A,2):1.0637336514485318 
data(p189):a11(A,1):1.4033614450006333 
data(p189):a14(A,3):1.204080891116275 
data(p189):a15(A,2):2.246909250240482 
data(p189):a1(A,a):0.9728896745424186 
data(p189):a4(A,u):-0.38405545215777426 
data(p189):a5(A,g):-0.19070162306420868 
data(p189):a6(A,c):0.31790238178521324 
data(p189):a7(A,v):0.8294017952883183 
data(p189):a9(A,t):1.5774993371496437 
data(p189):a10(A,t):-0.18707736108223413 
data(p189):a12(A,t):-0.16312241480842632 
data(p189):a13(A,g):-0.09894330272231658 
data(p512):a2(A,3):-0.2632770207498136 
data(p512):a3(A,2):0.6898268244462944 
data(p512):a8(A,0):-0.240804951406255 
data(p512):a11(A,0):-0.3093573363153729 
data(p512):a14(A,1):-0.4117628166461086 
data(p512):a15(A,2):1.2594057502716818 
data(p512):a1(A,a):1.8747201066846206 
data(p512):a4(A,u):-0.09966631347699506 
data(p512):a5(A,g):-0.21293991385288547 
data(p512):a6(A,j):0.0 
data(p512):a7(A,j):0.0 
data(p512):a9(A,t):1.7335108154013807 
data(p512):a10(A,f):-0.9131955556337832 
data(p512):a12(A,f):0.29774593723877435 
data(p512):a13(A,g):-0.13187819959909086 
data(p325):a2(A,2):-1.6979618912897916 
data(p325):a3(A,1):-0.6839548989725429 
data(p325):a8(A,2):1.4363743845904178 
data(p325):a11(A,0):-0.4542840136846013 
data(p325):a14(A,1):-1.3559762040892038 
data(p325):a15(A,0):-1.0192526657362395 
data(p325):a1(A,b):0.7077741960032523 
data(p325):a4(A,u):-0.19916049638149425 
data(p325):a5(A,g):-0.18604844895543396 
data(p325):a6(A,w):2.0596801954136463 
data(p325):a7(A,v):-0.011252688482682426 
data(p325):a9(A,f):-2.325393641767541 
data(p325):a10(A,f):-0.1920818011375572 
data(p325):a12(A,f):0.5561349873530002 
data(p325):a13(A,g):-0.08659773606495791 
data(p146):a2(A,2):-0.7901959114364818 
data(p146):a3(A,1):-0.3429639219644758 
data(p146):a8(A,3):3.36589862393034 
data(p146):a11(A,1):1.2607414229371694 
data(p146):a14(A,1):-0.43885857716338716 
data(p146):a15(A,2):1.2412109864420577 
data(p146):a1(A,b):0.5323942977885976 
data(p146):a4(A,u):0.02674815081402276 
data(p146):a5(A,g):-0.10410540949064884 
data(p146):a6(A,cc):0.9668294171682863 
data(p146):a7(A,h):1.4188545082296713 
data(p146):a9(A,t):1.7575964807507145 
data(p146):a10(A,t):0.16072419686127626 
data(p146):a12(A,f):0.7556795211231525 
data(p146):a13(A,g):-0.08086480552203723 
data(p503):a2(A,3):0.9212318007934626 
data(p503):a3(A,0):1.021421382438556 
data(p503):a8(A,0):-1.1587306114564047 
data(p503):a11(A,0):-0.34888444323592555 
data(p503):a14(A,2):-0.5699137635151322 
data(p503):a15(A,1):0.4948228286542188 
data(p503):a1(A,a):2.15687262259422 
data(p503):a4(A,u):-0.17667869798846075 
data(p503):a5(A,g):-0.23880807963318954 
data(p503):a6(A,ff):-0.3115204173483885 
data(p503):a7(A,ff):-0.3414351868514583 
data(p503):a9(A,t):1.2528975431950968 
data(p503):a10(A,t):-0.049412863166688914 
data(p503):a12(A,f):0.674927998227201 
data(p503):a13(A,g):-0.08957579014175278 
data(p227):a2(A,0):0.8756172773694304 
data(p227):a3(A,2):0.8945620689727739 
data(p227):a8(A,1):-1.8260935506434024 
data(p227):a11(A,0):-0.3539476897535858 
data(p227):a14(A,0):1.9962460484043252 
data(p227):a15(A,0):0.1586210096527086 
data(p227):a1(A,b):0.45318089223975133 
data(p227):a4(A,u):-0.04790108761485776 
data(p227):a5(A,g):-0.0435708230648128 
data(p227):a6(A,k):-0.7457689306215595 
data(p227):a7(A,v):0.1494269846546765 
data(p227):a9(A,t):1.596447200329495 
data(p227):a10(A,f):-0.35054232991414924 
data(p227):a12(A,f):0.3678502605776932 
data(p227):a13(A,g):-0.06051179689314764 
data(p217):a2(A,3):-0.6629410263228227 
data(p217):a3(A,2):-0.2131131612105397 
data(p217):a8(A,3):2.2105774611915066 
data(p217):a11(A,1):1.3238274351738368 
data(p217):a14(A,3):-1.55856400284372 
data(p217):a15(A,0):-1.0174917086645285 
data(p217):a1(A,b):0.3388314341393116 
data(p217):a4(A,u):-0.11582142158630443 
data(p217):a5(A,g):-0.13947342821615608 
data(p217):a6(A,cc):1.2041635977285536 
data(p217):a7(A,h):1.0975168772178097 
data(p217):a9(A,t):1.5139940873839346 
data(p217):a10(A,t):-0.07988512293110589 
data(p217):a12(A,f):0.5932141186626586 
data(p217):a13(A,g):-0.16454424141347432 
data(p195):a2(A,2):-0.4791031718424466 
data(p195):a3(A,2):0.2903742800396092 
data(p195):a8(A,3):1.8146415538886285 
data(p195):a11(A,1):1.7240917671703935 
data(p195):a14(A,2):-0.796075086924144 
data(p195):a15(A,0):-0.7295939887650856 
data(p195):a1(A,b):0.3084459953083306 
data(p195):a4(A,y):-1.0093357312767077 
data(p195):a5(A,p):-0.49100262584414434 
data(p195):a6(A,i):-0.4789398915144331 
data(p195):a7(A,bb):0.10375463131591298 
data(p195):a9(A,t):1.2066376454821581 
data(p195):a10(A,t):0.13734766806109897 
data(p195):a12(A,t):0.08776068429862892 
data(p195):a13(A,g):-0.19387473269319336 
data(p203):a2(A,1):0.8360973599312246 
data(p203):a3(A,1):-0.09625334610546117 
data(p203):a8(A,2):1.2026406216494858 
data(p203):a11(A,1):1.6041769143410372 
data(p203):a14(A,2):-0.5046872368474057 
data(p203):a15(A,2):1.745878017494799 
data(p203):a1(A,b):0.6581573472267329 
data(p203):a4(A,u):-0.1473016813934763 
data(p203):a5(A,g):-0.10133274192145897 
data(p203):a6(A,c):0.6525611637591041 
data(p203):a7(A,v):0.25425859712967985 
data(p203):a9(A,t):1.5421019174780521 
data(p203):a10(A,t):-0.19493580900412028 
data(p203):a12(A,f):0.6257904093864015 
data(p203):a13(A,g):-0.057109268552126884 
data(p299):a2(A,0):0.25835976988401804 
data(p299):a3(A,1):-0.4362072821366534 
data(p299):a8(A,1):-2.2503885931953724 
data(p299):a11(A,0):-0.43750747291969255 
data(p299):a14(A,0):0.13516846746391847 
data(p299):a15(A,1):-0.875558468262611 
data(p299):a1(A,b):0.5936036907186937 
data(p299):a4(A,u):-0.1318244672098707 
data(p299):a5(A,g):-0.03383459801928778 
data(p299):a6(A,aa):-0.008480687703737853 
data(p299):a7(A,v):-0.3231321469716821 
data(p299):a9(A,f):-3.6757993554219905 
data(p299):a10(A,t):-0.42581094327255475 
data(p299):a12(A,f):0.4374848704161527 
data(p299):a13(A,g):-0.08545794966538649 
data(p670):a2(A,3):-1.1380228627224933 
data(p670):a3(A,1):-0.750370072349647 
data(p670):a8(A,2):1.5707639115063319 
data(p670):a11(A,0):-0.423058093452996 
data(p670):a14(A,1):-1.8582699465140573 
data(p670):a15(A,0):-0.10762091898477996 
data(p670):a1(A,b):0.4569981825637208 
data(p670):a4(A,y):-1.9015706749499484 
data(p670):a5(A,p):-0.8302545843579562 
data(p670):a6(A,ff):-0.17021930362110776 
data(p670):a7(A,ff):-0.18505080038264676 
data(p670):a9(A,f):-1.722457527238025 
data(p670):a10(A,f):-0.3537708368662622 
data(p670):a12(A,f):-0.005413810458347125 
data(p670):a13(A,g):-0.18085632941017402 
data(p615):a2(A,3):0.018453401692339357 
data(p615):a3(A,2):-0.160255595345778 
data(p615):a8(A,0):0.7797541805170242 
data(p615):a11(A,0):-0.39907948066266485 
data(p615):a14(A,1):-0.6643827058802398 
data(p615):a15(A,0):-0.10965426975874533 
data(p615):a1(A,a):1.747728658435477 
data(p615):a4(A,u):-0.16969498469101105 
data(p615):a5(A,g):-0.18306961172388073 
data(p615):a6(A,c):0.3999150465864441 
data(p615):a7(A,v):0.6599111829566952 
data(p615):a9(A,f):-3.132791462345934 
data(p615):a10(A,f):-0.4480337269784992 
data(p615):a12(A,f):0.500402052523387 
data(p615):a13(A,g):-0.15306003239251806 
data(p538):a2(A,2):-1.232207540327729 
data(p538):a3(A,2):0.504304327551788 
data(p538):a8(A,3):0.6599870426653595 
data(p538):a11(A,0):-0.3706388108138223 
data(p538):a14(A,3):-1.1751981176159774 
data(p538):a15(A,0):-1.5413949279548675 
data(p538):a1(A,b):0.5357423243683516 
data(p538):a4(A,u):-0.3343712207430553 
data(p538):a5(A,g):-0.20346921873425092 
data(p538):a6(A,x):1.1443870604319246 
data(p538):a7(A,h):1.3359931637165088 
data(p538):a9(A,t):1.0485283877918437 
data(p538):a10(A,f):-0.9014120264392731 
data(p538):a12(A,t):-0.027671455845199235 
data(p538):a13(A,g):-0.23968753099752174 
data(p527):a2(A,3):-0.4919040197481423 
data(p527):a3(A,1):-1.1678623627573834 
data(p527):a8(A,1):-1.985065655458501 
data(p527):a11(A,0):-0.509518879434977 
data(p527):a14(A,1):-1.4589073060323634 
data(p527):a15(A,0):-1.0060042469866084 
data(p527):a1(A,b):0.5287455595352629 
data(p527):a4(A,u):-0.03324521323173613 
data(p527):a5(A,g):-0.12205857702347796 
data(p527):a6(A,k):-0.7301813084006752 
data(p527):a7(A,v):0.4245176434145205 
data(p527):a9(A,t):1.3193471479700856 
data(p527):a10(A,f):-0.8368039715745156 
data(p527):a12(A,f):0.5682690742016238 
data(p527):a13(A,g):-0.04952768245014409 
data(p80):a2(A,0):0.5609696602144428 
data(p80):a3(A,3):-0.6130363048354657 
data(p80):a8(A,1):-2.1890062479790395 
data(p80):a11(A,0):-0.4324893280938305 
data(p80):a14(A,1):-0.7354392358437245 
data(p80):a15(A,0):-0.5320209894595107 
data(p80):a1(A,b):0.34690820727997346 
data(p80):a4(A,u):-0.062260876575729 
data(p80):a5(A,g):-0.03215012857189887 
data(p80):a6(A,c):-0.10935796757119563 
data(p80):a7(A,v):-0.017873616014961496 
data(p80):a9(A,t):1.2854042057786026 
data(p80):a10(A,f):-0.3877046765296497 
data(p80):a12(A,f):0.6521374009497473 
data(p80):a13(A,g):-0.07301450181729154 
data(p390):a2(A,1):0.99312269097298 
data(p390):a3(A,0):1.0331632523762506 
data(p390):a8(A,0):0.19402015646826806 
data(p390):a11(A,0):-0.3542146240776851 
data(p390):a14(A,0):1.1545323379147754 
data(p390):a15(A,0):0.20998410856269806 
data(p390):a1(A,b):0.6622084806691049 
data(p390):a4(A,u):-0.4281017511761638 
data(p390):a5(A,g):-0.18827893590975725 
data(p390):a6(A,m):-0.047935183051352276 
data(p390):a7(A,v):-0.08108233740147452 
data(p390):a9(A,f):-2.8338948661427015 
data(p390):a10(A,f):-0.13389111339931772 
data(p390):a12(A,f):0.2187866121581068 
data(p390):a13(A,s):-0.2516602669357708 
data(p555):a2(A,0):-0.5753321801515835 
data(p555):a3(A,3):0.0646461927720036 
data(p555):a8(A,1):-1.1559566844959293 
data(p555):a11(A,1):1.0311528700912127 
data(p555):a14(A,0):0.4950463589847553 
data(p555):a15(A,1):-1.1824641937686426 
data(p555):a1(A,a):1.8180427889941135 
data(p555):a4(A,y):-0.8387110853978859 
data(p555):a5(A,p):-0.6956078717053721 
data(p555):a6(A,x):1.2531280155218179 
data(p555):a7(A,h):0.8505633987408042 
data(p555):a9(A,t):1.5012898373976356 
data(p555):a10(A,t):-0.03756326995425947 
data(p555):a12(A,f):0.29771310578582233 
data(p555):a13(A,g):-0.11654567201024288 
data(p176):a2(A,1):1.4894597205540212 
data(p176):a3(A,1):-1.0141822343764715 
data(p176):a8(A,1):-1.465167806182287 
data(p176):a11(A,0):-0.4294183685356748 
data(p176):a14(A,2):-1.5068440746151188 
data(p176):a15(A,2):1.8250310444121316 
data(p176):a1(A,b):0.5346647060900762 
data(p176):a4(A,y):-0.8736473769376173 
data(p176):a5(A,p):-0.6909993654504937 
data(p176):a6(A,w):2.1111656908353553 
data(p176):a7(A,v):0.34060494964295485 
data(p176):a9(A,t):1.2271127468291507 
data(p176):a10(A,f):-0.7684674547420601 
data(p176):a12(A,t):0.22684522810478638 
data(p176):a13(A,g):-0.12450072130011729 
data(p619):a2(A,2):0.12243040823330911 
data(p619):a3(A,2):-0.4113570057839415 
data(p619):a8(A,2):1.6134587647835306 
data(p619):a11(A,0):-0.48264535801381814 
data(p619):a14(A,3):1.6234421984010896 
data(p619):a15(A,1):0.762882027313137 
data(p619):a1(A,b):0.4331951409010223 
data(p619):a4(A,u):-0.49084551473274823 
data(p619):a5(A,g):-0.2168399549402201 
data(p619):a6(A,m):-0.01569539614656077 
data(p619):a7(A,v):0.550984947721964 
data(p619):a9(A,f):-3.6036866396348515 
data(p619):a10(A,t):-0.8255252876909476 
data(p619):a12(A,t):0.11847965596314106 
data(p619):a13(A,g):-0.17715487227943916 
data(p95):a2(A,2):-0.654044664076819 
data(p95):a3(A,1):-1.9214869215508235 
data(p95):a8(A,2):0.9146570620034048 
data(p95):a11(A,0):-0.4350846939491617 
data(p95):a14(A,0):-0.2377978546447722 
data(p95):a15(A,1):-0.7718320927734904 
data(p95):a1(A,b):0.41846536830065806 
data(p95):a4(A,y):-1.1903754982850294 
data(p95):a5(A,p):-0.900293248893268 
data(p95):a6(A,c):0.1192532313301456 
data(p95):a7(A,v):0.6767917144661875 
data(p95):a9(A,t):1.0499120281313923 
data(p95):a10(A,f):-0.9949174530635541 
data(p95):a12(A,t):0.4398230873812497 
data(p95):a13(A,g):-0.09575882689665839 
data(p230):a2(A,0):0.6801685092646956 
data(p230):a3(A,3):-0.1298804426274837 
data(p230):a8(A,1):-1.9101683811413226 
data(p230):a11(A,0):-0.4000929073380579 
data(p230):a14(A,1):-0.6932821750828618 
