data(p756):a1(A,f):-0.17670463857288382 
data(p2338):a21(A,t):2.7731125061212305 
data(p2338):a22(A,f):0.08702995370469309 
data(p2338):a23(A,f):0.15902501828874935 
data(p2338):a24(A,f):0.09071860172766562 
data(p2338):a25(A,f):0.0 
data(p2338):a26(A,f):0.11883267877143883 
data(p2338):a27(A,f):0.08882869190985486 
data(p2338):a28(A,f):0.0 
data(p2338):a29(A,f):0.0004229011601465278 
data(p2338):a30(A,f):0.0760368389836529 
data(p2338):a31(A,f):-0.12211233481415783 
data(p2338):a32(A,f):0.12414009572595212 
data(p2338):a33(A,t):-2.101564364095589 
data(p2338):a34(A,f):0.7052999662268132 
data(p2338):a35(A,t):0.18836458487964525 
data(p2338):a36(A,t):-0.2335680803866895 
data(p338):a1(A,f):-0.1531592046152278 
data(p338):a2(A,f):-0.017572395988623996 
data(p338):a3(A,f):0.07141111086984596 
data(p338):a4(A,f):0.2588699731781624 
data(p338):a5(A,t):0.31512318630789804 
data(p338):a6(A,t):0.3947713009721873 
data(p338):a7(A,f):0.9107384849445346 
data(p338):a8(A,f):0.021594817088270102 
data(p338):a9(A,f):0.42844124683894397 
data(p338):a10(A,f):1.753277096659849 
data(p338):a11(A,f):-0.04478863676553524 
data(p338):a12(A,f):0.001971214106380763 
data(p338):a13(A,l):-0.04500740023511006 
data(p338):a14(A,f):0.0027040351111793422 
data(p338):a15(A,n):-0.011139468633534771 
data(p338):a16(A,f):0.10897247546057365 
data(p338):a17(A,f):-0.055314310252243 
data(p338):a18(A,f):0.5845260547379902 
data(p338):a19(A,f):0.0 
data(p338):a20(A,f):0.09820383955070129 
data(p338):a21(A,f):-1.5463817902470016 
data(p338):a22(A,f):0.07478613341662377 
data(p338):a23(A,f):0.15931509779332287 
data(p338):a24(A,t):-0.13614766108367618 
data(p338):a25(A,f):0.0 
data(p338):a26(A,f):0.014789599813546623 
data(p338):a27(A,f):0.08637338813749129 
data(p338):a28(A,f):0.0 
data(p338):a29(A,f):0.0004229011601465278 
data(p338):a30(A,f):0.07504468988118984 
data(p338):a31(A,f):-0.11866114637762318 
data(p338):a32(A,f):0.13796855011793488 
data(p338):a33(A,t):-2.579505064003675 
data(p338):a34(A,f):1.1944692801511065 
data(p338):a35(A,t):0.224965855247205 
data(p338):a36(A,n):-0.06416273776605867 
data(p969):a1(A,f):-0.4876908725406901 
data(p969):a2(A,f):-0.059775190791185845 
data(p969):a3(A,f):0.06527575468001834 
data(p969):a4(A,f):0.19709579196814195 
data(p969):a5(A,t):0.20989908863428725 
data(p969):a6(A,f):-1.4178528040246732 
data(p969):a7(A,t):-0.39491926067109123 
data(p969):a8(A,f):0.02597021230958648 
data(p969):a9(A,f):0.16818990885746873 
data(p969):a10(A,f):1.8636228415782867 
data(p969):a11(A,t):-0.08133476106346363 
data(p969):a12(A,f):-0.11014982507961046 
data(p969):a13(A,l):-0.0033037638390656693 
data(p969):a14(A,f):0.0034501207422323386 
data(p969):a15(A,n):-0.48504764924890637 
data(p969):a16(A,f):0.09959901738463507 
data(p969):a17(A,f):-0.05702884823327288 
data(p969):a18(A,f):0.23504958231193987 
data(p969):a19(A,f):0.0 
data(p969):a20(A,f):0.1308399055406437 
data(p969):a21(A,f):-1.3959777177892028 
data(p969):a22(A,f):0.045734567337300226 
data(p969):a23(A,f):0.17148285289754725 
data(p969):a24(A,t):-0.08175960956143752 
data(p969):a25(A,f):0.0 
data(p969):a26(A,t):-0.033121089237308825 
data(p969):a27(A,f):0.06820825576411373 
data(p969):a28(A,f):0.0 
data(p969):a29(A,f):0.0004229011601465278 
data(p969):a30(A,f):0.061892652488145135 
data(p969):a31(A,f):-0.25899080208473835 
data(p969):a32(A,f):0.18834695908468327 
data(p969):a33(A,f):1.216071740369301 
data(p969):a34(A,f):-0.028219529679805903 
data(p969):a35(A,f):-2.9249935499690447 
data(p969):a36(A,n):0.007575344379459118 
data(p127):a1(A,f):-0.2521844558108438 
data(p127):a2(A,f):-0.057133965975935855 
data(p127):a3(A,f):0.06856112239532286 
data(p127):a4(A,f):0.21402596800549967 
data(p127):a5(A,t):0.09904098799147011 
data(p127):a6(A,t):0.7051106777615576 
data(p127):a7(A,t):-0.26153834029260764 
data(p127):a8(A,f):0.03450184648907919 
data(p127):a9(A,t):0.012060243949843055 
data(p127):a10(A,f):2.2058920367754147 
data(p127):a11(A,f):-0.2122791534607103 
data(p127):a12(A,f):0.026326077945985363 
data(p127):a13(A,l):0.0005622693430932327 
data(p127):a14(A,f):0.0032699542997646916 
data(p127):a15(A,n):0.11658790679385211 
data(p127):a16(A,f):0.10473879314043993 
data(p127):a17(A,f):-0.05295270444348804 
data(p127):a18(A,t):-0.019229899068610112 
data(p127):a19(A,f):0.0 
data(p127):a20(A,f):-0.008203763570847167 
data(p127):a21(A,f):-1.365919615575579 
data(p127):a22(A,t):-0.1270057690654131 
data(p127):a23(A,f):0.1762931536105818 
data(p127):a24(A,f):0.014374149943070826 
data(p127):a25(A,f):0.0 
data(p127):a26(A,t):0.00294295727265404 
data(p127):a27(A,f):0.06138288347694015 
data(p127):a28(A,f):0.0 
data(p127):a29(A,f):0.0004229011601465278 
data(p127):a30(A,f):0.03607271966546948 
data(p127):a31(A,f):-0.02124362234019933 
data(p127):a32(A,f):0.19133517538155717 
data(p127):a33(A,f):2.554096103513589 
data(p127):a34(A,t):-0.14793210403320517 
data(p127):a35(A,t):0.3724766044330949 
data(p127):a36(A,n):0.02263124195098036 
data(p938):a1(A,f):-0.5367728906215719 
data(p938):a2(A,f):-0.07007719750505165 
data(p938):a3(A,f):0.06583647853364433 
data(p938):a4(A,f):0.20211489506402266 
data(p938):a5(A,f):0.0896561840541124 
data(p938):a6(A,f):-1.3968331512472434 
data(p938):a7(A,f):-0.12583564260648678 
data(p938):a8(A,f):0.04822379684343294 
data(p938):a9(A,t):0.036699170929769674 
data(p938):a10(A,f):1.8405202623615857 
data(p938):a11(A,t):0.12157104751903369 
data(p938):a12(A,f):-0.07565259383220403 
data(p938):a13(A,l):0.04377159795225767 
data(p938):a14(A,f):0.0034530478818726343 
data(p938):a15(A,n):-0.3408698583598651 
data(p938):a16(A,f):0.09548955541858913 
data(p938):a17(A,f):-0.05726631696846432 
data(p938):a18(A,t):-0.2062100179154131 
data(p938):a19(A,f):0.0 
data(p938):a20(A,f):0.017783619764449525 
data(p938):a21(A,f):-1.4243832710673194 
data(p938):a22(A,t):-0.030944927797485262 
data(p938):a23(A,f):0.19328242110805316 
data(p938):a24(A,t):0.06732798648157516 
data(p938):a25(A,f):0.0 
data(p938):a26(A,t):-0.041992567942810456 
data(p938):a27(A,f):0.05083126547629499 
data(p938):a28(A,f):0.0 
data(p938):a29(A,f):0.0004229011601465278 
data(p938):a30(A,f):0.03871581019208615 
data(p938):a31(A,f):-0.07790224641946776 
data(p938):a32(A,f):0.1932698666595366 
data(p938):a33(A,f):1.30098753659383 
data(p938):a34(A,t):-0.024823085897945293 
data(p938):a35(A,f):-3.3456317084330336 
data(p938):a36(A,n):-0.018831712134595995 
data(p1384):a1(A,f):-0.3167084932317881 
data(p1384):a2(A,f):-0.019137997806214255 
data(p1384):a3(A,f):0.0653644434851249 
data(p1384):a4(A,f):0.17925067963916191 
data(p1384):a5(A,f):-0.0789610465390778 
data(p1384):a6(A,f):-0.5640487557907874 
data(p1384):a7(A,f):0.1055163874222252 
data(p1384):a8(A,f):0.06238081650762472 
data(p1384):a9(A,f):0.15240570840599718 
data(p1384):a10(A,t):-3.176816971037383 
data(p1384):a11(A,f):-0.16155728768264946 
data(p1384):a12(A,f):-0.028244327637417962 
data(p1384):a13(A,l):0.036404761008844974 
data(p1384):a14(A,f):0.002699802118286727 
data(p1384):a15(A,n):0.13417917638355548 
data(p1384):a16(A,f):0.08601617190357579 
data(p1384):a17(A,f):-0.05928239061691855 
data(p1384):a18(A,t):-0.1504722523645536 
data(p1384):a19(A,f):0.0 
data(p1384):a20(A,f):0.026203659061203977 
data(p1384):a21(A,f):-1.8812625647784522 
data(p1384):a22(A,f):0.03770212872123446 
data(p1384):a23(A,f):0.20941652447620288 
data(p1384):a24(A,t):0.07816031403558252 
data(p1384):a25(A,f):0.0 
data(p1384):a26(A,f):0.1905023676248246 
data(p1384):a27(A,f):0.04892286593236153 
data(p1384):a28(A,f):0.0 
data(p1384):a29(A,f):0.00031856310424634393 
data(p1384):a30(A,f):0.03713994507449995 
data(p1384):a31(A,f):-0.037589709535195436 
data(p1384):a32(A,f):0.16305215852667598 
data(p1384):a33(A,f):1.4285214289304262 
data(p1384):a34(A,t):-0.056907991264716316 
data(p1384):a35(A,t):0.4005415217115668 
data(p1384):a36(A,n):-0.12315121276930907 
data(p1828):a1(A,f):-0.24238892872329562 
data(p1828):a2(A,f):-0.08392147076868557 
data(p1828):a3(A,f):0.0703588518946221 
data(p1828):a4(A,f):0.2192764609503586 
data(p1828):a5(A,f):0.14576769182894994 
data(p1828):a6(A,t):0.6590585938345246 
data(p1828):a7(A,t):-0.3392668986306316 
data(p1828):a8(A,f):0.051599695093985314 
data(p1828):a9(A,t):0.08274448928200326 
data(p1828):a10(A,f):2.2164711456086046 
data(p1828):a11(A,t):0.0008794926431230975 
data(p1828):a12(A,f):-0.02916294705477735 
data(p1828):a13(A,l):-0.0084420842140716 
data(p1828):a14(A,f):0.0031615403583659953 
data(p1828):a15(A,n):-0.08665918565292635 
data(p1828):a16(A,f):0.1015516351850697 
data(p1828):a17(A,f):-0.050253288832804624 
data(p1828):a18(A,f):0.17248371582941996 
data(p1828):a19(A,f):0.0 
data(p1828):a20(A,t):-0.10560193643509394 
data(p1828):a21(A,f):-1.339055543849226 
data(p1828):a22(A,t):-0.11824221763183794 
data(p1828):a23(A,f):0.13397309471583288 
data(p1828):a24(A,f):-0.03775994836266676 
data(p1828):a25(A,f):0.0 
data(p1828):a26(A,t):0.0741455214903489 
data(p1828):a27(A,f):0.072069400543847 
data(p1828):a28(A,f):0.0 
data(p1828):a29(A,f):0.0004229011601465278 
data(p1828):a30(A,f):0.05274658808854392 
data(p1828):a31(A,t):0.3735984468758102 
data(p1828):a32(A,f):0.1817007904224201 
data(p1828):a33(A,f):2.1550894766642017 
data(p1828):a34(A,f):-0.15979418137416843 
data(p1828):a35(A,t):0.29863948650214167 
data(p1828):a36(A,n):0.09815871653446225 
data(p730):a1(A,f):-0.23384522751738765 
data(p730):a2(A,f):-0.015764584221559828 
data(p730):a3(A,f):0.06622105755650567 
data(p730):a4(A,f):0.22470670892877045 
data(p730):a5(A,f):-0.004836194308703472 
data(p730):a6(A,f):-0.2122460169583373 
data(p730):a7(A,f):0.3415009426611014 
data(p730):a8(A,f):0.019172373424811533 
data(p730):a9(A,f):0.22159314521245407 
data(p730):a10(A,f):1.1606491017831937 
data(p730):a11(A,f):-0.15743370645696186 
data(p730):a12(A,f):-0.007701502574542746 
data(p730):a13(A,l):0.058519216281828434 
data(p730):a14(A,f):0.002564435062989097 
data(p730):a15(A,n):0.08683624516775505 
data(p730):a16(A,f):0.09055043931755756 
data(p730):a17(A,f):-0.05536050733420374 
data(p730):a18(A,t):-0.18136378079140514 
data(p730):a19(A,f):0.0 
data(p730):a20(A,f):0.0013641083385531345 
data(p730):a21(A,t):3.0178961552872763 
data(p730):a22(A,f):0.0692247987496868 
data(p730):a23(A,f):0.21644740994114078 
data(p730):a24(A,t):0.049253534433213925 
data(p730):a25(A,f):0.0 
data(p730):a26(A,f):-0.2769795800234276 
data(p730):a27(A,f):0.06352971545527909 
data(p730):a28(A,f):0.0 
data(p730):a29(A,f):0.0004229011601465278 
data(p730):a30(A,f):0.051390404932867714 
data(p730):a31(A,f):-0.022728215688222395 
data(p730):a32(A,f):0.12698999769153474 
data(p730):a33(A,t):-2.0594788996139775 
data(p730):a34(A,t):-0.15700538793869123 
data(p730):a35(A,t):0.3011052604468855 
data(p730):a36(A,n):-0.09155629931494114 
data(p2433):a1(A,f):-0.2684069126398048 
data(p2433):a2(A,f):-0.05822192325911191 
data(p2433):a3(A,f):0.06082304707555183 
data(p2433):a4(A,f):0.15071869920583245 
data(p2433):a5(A,t):0.207201623698237 
data(p2433):a6(A,f):-0.3460524514163294 
data(p2433):a7(A,t):-0.5313207171519918 
data(p2433):a8(A,t):-0.027155756243588212 
data(p2433):a9(A,t):-0.22177615530486777 
data(p2433):a10(A,t):-2.5821953412254715 
data(p2433):a11(A,f):-0.1152119893691397 
data(p2433):a12(A,f):0.00594389599456817 
data(p2433):a13(A,g):-0.0494629408068765 
data(p2433):a14(A,f):0.0023617368689712193 
data(p2433):a15(A,n):0.10311186651006593 
data(p2433):a16(A,f):0.08134740101972414 
data(p2433):a17(A,f):-0.05888175411751992 
data(p2433):a18(A,t):-0.09442490689720244 
data(p2433):a19(A,f):0.0 
data(p2433):a20(A,f):-0.023077631615343173 
data(p2433):a21(A,f):-2.0512966540854145 
data(p2433):a22(A,f):0.05002846938510132 
data(p2433):a23(A,f):0.1795067830055473 
data(p2433):a24(A,f):0.0633492062518695 
data(p2433):a25(A,f):0.0 
data(p2433):a26(A,f):0.04672512778828726 
data(p2433):a27(A,f):0.048597819384310695 
data(p2433):a28(A,f):0.0 
data(p2433):a29(A,f):0.00031856310424634393 
data(p2433):a30(A,f):0.040519081468508286 
data(p2433):a31(A,f):-0.06847307773411301 
data(p2433):a32(A,f):0.11165733067638105 
data(p2433):a33(A,t):-2.3061726945457584 
data(p2433):a34(A,t):-0.08014583586410494 
data(p2433):a35(A,t):0.21431055865897172 
data(p2433):a36(A,n):-0.08478169249766623 
data(p2750):a1(A,f):-0.8214518521616461 
data(p2750):a2(A,f):-0.0332718240298104 
data(p2750):a3(A,f):0.06321794283798758 
data(p2750):a4(A,f):0.15823074672042683 
data(p2750):a5(A,t):0.16099723875371497 
data(p2750):a6(A,f):-1.4588290383838536 
data(p2750):a7(A,t):-0.258681126259861 
data(p2750):a8(A,f):0.03774818210701702 
data(p2750):a9(A,t):0.09493717431769881 
data(p2750):a10(A,f):2.028585452792638 
data(p2750):a11(A,t):0.14335961516060938 
data(p2750):a12(A,f):-0.006233015700935894 
data(p2750):a13(A,g):0.04520172325638601 
data(p2750):a14(A,f):0.0029540581035902664 
data(p2750):a15(A,b):-4.431229319683922 
data(p2750):a16(A,f):0.08664006466451096 
data(p2750):a17(A,f):-0.054596964311777414 
data(p2750):a18(A,t):-0.15266178901867358 
data(p2750):a19(A,f):0.0 
data(p2750):a20(A,f):0.001573907799294309 
data(p2750):a21(A,f):-1.4182993803817787 
data(p2750):a22(A,t):0.005077910629327686 
data(p2750):a23(A,f):0.16991832054823724 
data(p2750):a24(A,t):0.008783174498153036 
data(p2750):a25(A,f):0.0 
data(p2750):a26(A,t):-0.013708486829322719 
data(p2750):a27(A,f):0.05373634031165676 
data(p2750):a28(A,f):0.0 
data(p2750):a29(A,f):0.0004229011601465278 
data(p2750):a30(A,f):0.03219637161844297 
data(p2750):a31(A,f):-0.04676712651531096 
data(p2750):a32(A,f):0.18559172315350606 
data(p2750):a33(A,f):2.028479789989881 
data(p2750):a34(A,t):-0.08530271784652618 
data(p2750):a35(A,t):0.16930885035012694 
data(p2750):a36(A,n):-0.025077482712780805 
data(p696):a1(A,f):-0.19942599481255507 
data(p696):a2(A,f):-0.06133366881516238 
data(p696):a3(A,f):0.06530759419658728 
data(p696):a4(A,f):0.22985557712918128 
data(p696):a5(A,f):-0.032376036877535784 
data(p696):a6(A,f):-0.5268093127482035 
data(p696):a7(A,f):0.5800233525145443 
data(p696):a8(A,f):0.010705139015470877 
data(p696):a9(A,f):0.3866538722581841 
data(p696):a10(A,f):1.651629216059585 
data(p696):a11(A,f):0.014666766807905554 
data(p696):a12(A,t):0.2716384457926999 
data(p696):a13(A,l):0.08138334234856855 
data(p696):a14(A,f):0.0025280017830133544 
data(p696):a15(A,n):-0.05044475737356257 
data(p696):a16(A,f):0.1005922631346282 
data(p696):a17(A,f):-0.061285742999663655 
data(p696):a18(A,f):1.4635129674330503 
data(p696):a19(A,f):0.0 
data(p696):a20(A,f):0.18487770582748383 
data(p696):a21(A,f):-1.5720701805064343 
data(p696):a22(A,f):0.08193326223381565 
data(p696):a23(A,f):0.17417104052447344 
data(p696):a24(A,f):-0.009378763470300512 
data(p696):a25(A,f):0.0 
data(p696):a26(A,f):-0.050313390945632516 
data(p696):a27(A,f):0.08827634867009336 
data(p696):a28(A,f):0.0 
data(p696):a29(A,f):0.0004229011601465278 
data(p696):a30(A,f):0.07987470422153803 
data(p696):a31(A,f):-0.23137885110664322 
data(p696):a32(A,f):0.13745012214015107 
data(p696):a33(A,t):-2.1178831419765425 
data(p696):a34(A,f):0.7760843101317177 
data(p696):a35(A,t):0.2315184171629899 
data(p696):a36(A,t):-0.39627939583454824 
data(p2610):a1(A,f):-0.22089964851179536 
data(p2610):a2(A,f):-0.0543839438155733 
data(p2610):a3(A,f):0.06218710951203465 
data(p2610):a4(A,f):0.16060130448737983 
data(p2610):a5(A,t):0.2008748964492895 
data(p2610):a6(A,f):-0.3527580785079972 
data(p2610):a7(A,t):-0.6917300275272208 
data(p2610):a8(A,t):-0.027155756243588212 
data(p2610):a9(A,t):-0.25023972058618005 
data(p2610):a10(A,t):-2.643863863411095 
data(p2610):a11(A,f):0.03170224403222368 
data(p2610):a12(A,f):-0.05190697497222378 
data(p2610):a13(A,l):-0.041342380239920394 
data(p2610):a14(A,f):0.0023617368689712193 
data(p2610):a15(A,n):0.048052393301891004 
data(p2610):a16(A,f):0.08009112659021919 
data(p2610):a17(A,f):-0.060256774556581016 
data(p2610):a18(A,t):-0.028805996239277425 
data(p2610):a19(A,f):0.0 
data(p2610):a20(A,f):-0.0034008967284072447 
data(p2610):a21(A,f):-1.9975791920222938 
data(p2610):a22(A,t):-0.1489633300135693 
data(p2610):a23(A,f):0.18457370065680892 
data(p2610):a24(A,f):-0.09340091899074215 
data(p2610):a25(A,f):0.0 
data(p2610):a26(A,f):-0.23039936903187236 
data(p2610):a27(A,f):0.06228349824575205 
data(p2610):a28(A,f):0.0 
data(p2610):a29(A,f):0.00031856310424634393 
data(p2610):a30(A,f):0.04814722648877561 
data(p2610):a31(A,f):-0.07301706075148172 
data(p2610):a32(A,f):0.11011619844776081 
data(p2610):a33(A,t):-2.051188776120627 
data(p2610):a34(A,f):0.5460986892594377 
data(p2610):a35(A,t):0.22548383924656618 
data(p2610):a36(A,n):-0.03146852330421845 
data(p2015):a1(A,f):-0.24489640304550248 
data(p2015):a2(A,f):-0.07099012072215792 
data(p2015):a3(A,f):0.06276598598551174 
data(p2015):a4(A,f):0.15680398864301967 
data(p2015):a5(A,t):-0.07434188027370395 
data(p2015):a6(A,f):-0.3009695119764767 
data(p2015):a7(A,t):-0.37039909943240806 
data(p2015):a8(A,f):0.06342363190205456 
data(p2015):a9(A,f):0.16059082163005575 
data(p2015):a10(A,t):-1.7672341782439114 
data(p2015):a11(A,t):0.005081009190494408 
data(p2015):a12(A,f):-0.03419961762874024 
data(p2015):a13(A,l):-0.01301330635644034 
data(p2015):a14(A,f):0.002565723809677894 
data(p2015):a15(A,w):2.3259619420383997 
data(p2015):a16(A,f):0.0735273502478909 
data(p2015):a17(A,f):-0.0520237753864419 
data(p2015):a18(A,t):-0.15993020716694717 
data(p2015):a19(A,f):0.0 
data(p2015):a20(A,t):0.08306460624701048 
data(p2015):a21(A,t):3.605844369600122 
data(p2015):a22(A,f):0.04465630621323388 
data(p2015):a23(A,f):0.15366700246574677 
data(p2015):a24(A,f):-0.07754508834957054 
data(p2015):a25(A,f):0.0 
data(p2015):a26(A,t):0.03806497039663131 
data(p2015):a27(A,f):0.04870850002921291 
data(p2015):a28(A,f):0.0 
data(p2015):a29(A,f):0.0021099815381285174 
data(p2015):a30(A,f):0.04237709380737451 
data(p2015):a31(A,t):0.3230796428629877 
data(p2015):a32(A,f):0.11002490906254636 
data(p2015):a33(A,t):-1.6105931714275152 
data(p2015):a34(A,t):0.01343760288834486 
data(p2015):a35(A,t):-0.07083516312954365 
data(p2015):a36(A,n):0.031471943341651744 
data(p2238):a1(A,f):-0.2701690391350404 
data(p2238):a2(A,f):-0.10094004553629457 
data(p2238):a3(A,f):0.07449219294010144 
data(p2238):a4(A,f):0.22738200153563576 
data(p2238):a5(A,f):-0.03696915788441727 
data(p2238):a6(A,t):0.6529167926258677 
data(p2238):a7(A,f):0.10416744977712661 
data(p2238):a8(A,f):0.05084750883913588 
data(p2238):a9(A,f):0.23879334821271378 
data(p2238):a10(A,f):1.3798018666548588 
data(p2238):a11(A,t):-0.030765729705039258 
data(p2238):a12(A,f):-0.050340809138235194 
data(p2238):a13(A,l):-0.018636641337276792 
data(p2238):a14(A,f):0.0037015294713278793 
data(p2238):a15(A,w):2.296334595239093 
data(p2238):a16(A,f):0.09937171623113523 
data(p2238):a17(A,f):-0.045637791011984584 
data(p2238):a18(A,f):0.8599044664811597 
data(p2238):a19(A,f):0.0 
data(p2238):a20(A,t):-0.3348116269635271 
data(p2238):a21(A,t):2.358908541064196 
data(p2238):a22(A,f):0.03174738424332668 
data(p2238):a23(A,f):0.12483503336088236 
data(p2238):a24(A,f):0.1475764549622919 
data(p2238):a25(A,f):0.0 
data(p2238):a26(A,t):0.017361503674428357 
data(p2238):a27(A,f):0.06789103511079193 
data(p2238):a28(A,f):0.0 
data(p2238):a29(A,f):0.003747009656562437 
data(p2238):a30(A,f):0.05593636700279529 
data(p2238):a31(A,t):0.38758752746400327 
data(p2238):a32(A,f):0.18551191598907332 
data(p2238):a33(A,f):0.9854680009506002 
data(p2238):a34(A,f):-0.06869297814111275 
data(p2238):a35(A,f):-1.5255956273365858 
data(p2238):a36(A,n):0.09576176325860006 
data(p3186):a1(A,f):-0.3566228914473318 
data(p3186):a2(A,f):-0.1753601849307762 
data(p3186):a3(A,f):0.05588432006576356 
data(p3186):a4(A,f):0.17870105142780876 
data(p3186):a5(A,t):0.06300839242690144 
data(p3186):a6(A,f):-1.0833319286940446 
data(p3186):a7(A,t):-0.26591263860995096 
data(p3186):a8(A,f):0.00992146562115604 
data(p3186):a9(A,t):-0.03339287388025516 
data(p3186):a10(A,f):1.684105113398769 
data(p3186):a11(A,f):-0.236774816881935 
data(p3186):a12(A,t):0.6099289119949789 
data(p3186):a13(A,l):0.048910525652028206 
data(p3186):a14(A,f):0.003358515847746069 
data(p3186):a15(A,n):-0.2791620435617453 
data(p3186):a16(A,f):0.09086473131552539 
data(p3186):a17(A,f):-0.05924071723680524 
data(p3186):a18(A,f):0.5713601940359191 
data(p3186):a19(A,f):0.0 
data(p3186):a20(A,f):0.1283202857623992 
data(p3186):a21(A,f):-1.5028970619791635 
data(p3186):a22(A,t):-0.13279226504067826 
data(p3186):a23(A,f):0.16255850566826685 
data(p3186):a24(A,f):0.07593907252501803 
data(p3186):a25(A,f):0.0 
data(p3186):a26(A,t):-0.06518805121099629 
data(p3186):a27(A,f):0.05524262574976742 
data(p3186):a28(A,f):0.0 
data(p3186):a29(A,t):0.0 
data(p3186):a30(A,f):0.049249991973925544 
data(p3186):a31(A,f):-0.30313478859229165 
data(p3186):a32(A,t):-1.4922468058846412 
data(p3186):a33(A,f):1.345475588071504 
data(p3186):a34(A,t):-0.04611339710855838 
data(p3186):a35(A,f):-2.67514356950732 
data(p3186):a36(A,n):0.05777300127752575 
data(p326):a1(A,f):-0.21978019005016158 
data(p326):a2(A,f):-0.05106355049842796 
data(p326):a3(A,f):0.0724209358909551 
data(p326):a4(A,f):0.24313356827833818 
data(p326):a5(A,t):0.371243052195405 
data(p326):a6(A,t):0.6216352926627761 
data(p326):a7(A,f):0.5449197807768869 
data(p326):a8(A,f):0.04186445653639719 
data(p326):a9(A,f):0.3782012184845277 
data(p326):a10(A,f):2.2870927672597365 
data(p326):a11(A,f):0.06396023435886894 
data(p326):a12(A,f):0.0044233011262913464 
data(p326):a13(A,l):-0.09926919575624281 
data(p326):a14(A,f):0.003267027160124396 
data(p326):a15(A,n):0.0022368181376728967 
data(p326):a16(A,f):0.11191928312140291 
data(p326):a17(A,f):-0.05359933201169278 
data(p326):a18(A,f):0.3917840309086701 
data(p326):a19(A,f):0.0 
data(p326):a20(A,f):0.1367427137349288 
data(p326):a21(A,f):-1.320849581354763 
data(p326):a22(A,f):0.060838071114381324 
data(p326):a23(A,f):0.17101047266823172 
data(p326):a24(A,f):0.10701880456290859 
data(p326):a25(A,f):0.0 
data(p326):a26(A,f):0.22515196005001492 
data(p326):a27(A,f):0.08366632179918698 
data(p326):a28(A,f):0.0 
data(p326):a29(A,f):0.0004229011601465278 
data(p326):a30(A,f):0.06276374757248719 
data(p326):a31(A,f):-0.14990423023641675 
data(p326):a32(A,f):0.18992504240198266 
data(p326):a33(A,f):1.8110618667234344 
data(p326):a34(A,f):0.4908748281492023 
data(p326):a35(A,t):0.37415779635179935 
data(p326):a36(A,n):-0.03202562337514032 
data(p1916):a1(A,f):-0.3323413119336188 
data(p1916):a2(A,f):-0.038188723077654974 
data(p1916):a3(A,f):0.06362075632373627 
data(p1916):a4(A,f):0.21986255144809164 
data(p1916):a5(A,f):0.10815978508321185 
data(p1916):a6(A,t):1.1255741726310913 
data(p1916):a7(A,t):-0.32045995252136 
data(p1916):a8(A,f):0.032448301541670624 
data(p1916):a9(A,f):0.08308339207158333 
data(p1916):a10(A,f):1.856628239942649 
data(p1916):a11(A,t):0.1242020471476777 
data(p1916):a12(A,t):0.6883917441718203 
data(p1916):a13(A,l):0.03172896769925691 
data(p1916):a14(A,f):0.003653036942304294 
data(p1916):a15(A,n):-0.4393441009863616 
data(p1916):a16(A,f):0.09767473270897878 
data(p1916):a17(A,f):-0.18007413984164877 
data(p1916):a18(A,f):0.23158269869794926 
data(p1916):a19(A,f):0.0 
data(p1916):a20(A,t):-0.2409704364784295 
data(p1916):a21(A,f):-1.3666241056676451 
data(p1916):a22(A,f):0.03765148452193838 
data(p1916):a23(A,t):-0.7852064091500598 
data(p1916):a24(A,t):-0.08490828452134572 
data(p1916):a25(A,f):0.0 
data(p1916):a26(A,t):0.03410527890578753 
data(p1916):a27(A,f):0.059754186145106046 
data(p1916):a28(A,f):0.0 
data(p1916):a29(A,f):0.0004229011601465278 
data(p1916):a30(A,f):0.051552565095643293 
data(p1916):a31(A,f):-0.1777946190905551 
data(p1916):a32(A,f):0.17728698752568667 
data(p1916):a33(A,f):1.5752976498691909 
data(p1916):a34(A,f):0.19731607937303955 
data(p1916):a35(A,f):-1.980573436174409 
data(p1916):a36(A,n):0.07860198992999842 
data(p714):a1(A,f):-0.2556976724187663 
data(p714):a2(A,f):-0.017324852975817016 
data(p714):a3(A,f):0.06913086524735768 
data(p714):a4(A,f):0.21309580258147606 
data(p714):a5(A,f):0.011034888219678927 
data(p714):a6(A,f):-0.8727691259913233 
data(p714):a7(A,f):0.2158751182075694 
data(p714):a8(A,f):0.04204264888961117 
data(p714):a9(A,f):0.21701011938709028 
data(p714):a10(A,f):1.5079192384281879 
data(p714):a11(A,f):-0.005262709185593725 
data(p714):a12(A,f):-0.047860583589582686 
data(p714):a13(A,l):0.08468891505443055 
data(p714):a14(A,f):0.002816999789113466 
data(p714):a15(A,n):0.025763309101972755 
data(p714):a16(A,f):0.09141463869679724 
data(p714):a17(A,f):-0.053201163130460555 
data(p714):a18(A,f):0.25492526192499476 
data(p714):a19(A,f):0.0 
data(p714):a20(A,f):0.13978456600989672 
data(p714):a21(A,t):2.573078157553619 
data(p714):a22(A,f):0.047386136669392995 
data(p714):a23(A,f):0.19959482802006895 
data(p714):a24(A,t):-0.012422004336081966 
data(p714):a25(A,f):0.0 
data(p714):a26(A,t):-0.024120095408955138 
data(p714):a27(A,f):0.07500871049051151 
data(p714):a28(A,f):0.0 
data(p714):a29(A,f):0.0004229011601465278 
data(p714):a30(A,t):-0.6542864179840349 
