data(p1365):buying(A,low):2.90348633382185 
data(p441):persons(A,2):-4.142134712148132 
data(p441):lugboot(A,big):1.2455148177223712 
data(p441):safety(A,high):3.0888969765856147 
data(p1375):buying(A,low):2.41032646178137 
data(p1375):maint(A,vhigh):-1.888460026227586 
data(p1375):doors(A,4):0.3171989822296735 
data(p1375):persons(A,more):2.217830889368558 
data(p1375):lugboot(A,big):0.977167312919555 
data(p1375):safety(A,low):-4.375632713566199 
data(p1266):buying(A,med):1.6592605396369886 
data(p1266):maint(A,low):1.384377212857454 
data(p1266):doors(A,4):0.3457195826789087 
data(p1266):persons(A,more):2.840544147775646 
data(p1266):lugboot(A,med):0.5787985545519192 
data(p1266):safety(A,high):3.54743148932492 
data(p801):buying(A,high):-1.143402677723087 
data(p801):maint(A,low):1.412617943403343 
data(p801):doors(A,3):-0.2739122721924779 
data(p801):persons(A,4):2.539908274234817 
data(p801):lugboot(A,big):0.6677697217383851 
data(p801):safety(A,high):3.7477008542932664 
data(p1667):buying(A,low):2.343063846907411 
data(p1667):maint(A,low):1.2973341268708545 
data(p1667):doors(A,3):0.28962574047127815 
data(p1667):persons(A,more):2.384242664733039 
data(p1667):lugboot(A,small):-2.311000610878915 
data(p1667):safety(A,med):1.7539168966842367 
data(p746):buying(A,high):-1.3256973498774836 
data(p746):maint(A,med):1.4743009208273476 
data(p746):doors(A,morethanfive):0.6116689386118093 
data(p746):persons(A,4):2.496227699650047 
data(p746):lugboot(A,big):1.6731430552894373 
data(p746):safety(A,med):2.2364810990144584 
data(p1381):buying(A,low):2.4489338199145703 
data(p1381):maint(A,vhigh):-1.6588223723200992 
data(p1381):doors(A,morethanfive):0.6930909624988738 
data(p1381):persons(A,2):-3.218776912589981 
data(p1381):lugboot(A,med):0.6063742079488375 
data(p1381):safety(A,low):-2.9497364810802775 
data(p890):buying(A,med):2.556252000017489 
data(p890):maint(A,vhigh):-2.659904570411977 
data(p890):doors(A,2):-1.5827024397182319 
data(p890):persons(A,more):2.3039535892062992 
data(p890):lugboot(A,big):2.338027608081265 
data(p890):safety(A,med):1.9421810401410307 
data(p1695):buying(A,low):1.4431763627273204 
data(p1695):maint(A,low):1.1999784710684525 
data(p1695):doors(A,4):0.2748858011887215 
data(p1695):persons(A,more):1.9488083751744876 
data(p1695):lugboot(A,small):-1.3773345453711494 
data(p1695):safety(A,high):3.931310086738697 
data(p958):buying(A,med):2.245798374132053 
data(p958):maint(A,vhigh):-2.212180058921231 
data(p958):doors(A,morethanfive):0.6290422325759238 
data(p958):persons(A,4):2.1109751804130874 
data(p958):lugboot(A,med):0.29054497223439746 
data(p958):safety(A,low):-4.2265403184096195 
data(p582):buying(A,high):-0.27101034568955634 
data(p582):maint(A,high):-0.033649405076745145 
data(p582):doors(A,3):-0.6360388890835067 
data(p582):persons(A,4):2.0911364298923174 
data(p582):lugboot(A,med):-0.04315478146213316 
data(p582):safety(A,high):4.182912763687225 
data(p19):buying(A,vhigh):-2.0490147695711154 
data(p19):maint(A,vhigh):-2.303483638839292 
data(p19):doors(A,2):-2.233043846224073 
data(p19):persons(A,more):1.2915197734330615 
data(p19):lugboot(A,small):-2.3158513068202637 
data(p19):safety(A,low):-3.2513227726617737 
data(p1362):buying(A,low):2.930939352306866 
data(p1362):maint(A,vhigh):-2.692340720084374 
data(p1362):doors(A,4):0.3697204048745062 
data(p1362):persons(A,4):2.932062502417091 
data(p1362):lugboot(A,small):-0.708721855084084 
data(p1362):safety(A,high):4.257956636186129 
data(p109):buying(A,vhigh):-2.591308576504059 
data(p109):maint(A,high):-0.9387529901603997 
data(p109):doors(A,2):-1.55516321294731 
data(p109):persons(A,2):-2.6484329854593627 
data(p109):lugboot(A,small):-1.5757000783499318 
data(p109):safety(A,low):-2.4135482594115287 
data(p1419):buying(A,low):2.48614846155205 
data(p1419):maint(A,high):-0.43963444541640384 
data(p1419):doors(A,2):-1.177831862334753 
data(p1419):persons(A,4):3.286044994267591 
data(p1419):lugboot(A,med):-0.03958721359643107 
data(p1419):safety(A,high):3.884262161402105 
data(p22):buying(A,vhigh):-2.118362286281013 
data(p22):maint(A,vhigh):-2.5128385785808955 
data(p22):doors(A,2):-1.7319662478517694 
data(p22):persons(A,more):2.1451595694492043 
data(p22):lugboot(A,med):0.444484504857856 
data(p22):safety(A,low):-3.4973232745546285 
data(p851):buying(A,high):-1.5740697736790072 
data(p851):maint(A,low):1.48068051915078 
data(p851):doors(A,morethanfive):0.9255776154725747 
data(p851):persons(A,4):2.3236224027569596 
data(p851):lugboot(A,med):0.4099625929762884 
data(p851):safety(A,med):1.6811045108053164 
data(p1263):buying(A,med):1.8517464385607638 
data(p1263):maint(A,low):1.4957071716130041 
data(p1263):doors(A,4):0.3087642280561221 
data(p1263):persons(A,more):2.107229792328601 
data(p1263):lugboot(A,small):-1.3244889868585858 
data(p1263):safety(A,high):4.206380082708596 
data(p555):buying(A,high):-0.34979025698564514 
data(p555):maint(A,high):0.08156555923289696 
data(p555):doors(A,2):-1.2054455197809113 
data(p555):persons(A,4):2.804708970577926 
data(p555):lugboot(A,med):-0.013231359968663517 
data(p555):safety(A,high):4.274312280248437 
data(p702):buying(A,high):-0.9244705835506448 
data(p702):maint(A,med):1.2261185249021522 
data(p702):doors(A,3):0.2541854754950878 
data(p702):persons(A,more):2.793308037350185 
data(p702):lugboot(A,big):0.7647524497929346 
data(p702):safety(A,high):3.362077596611718 
data(p380):buying(A,vhigh):-1.8089117096186351 
data(p380):maint(A,low):2.1400702620140826 
data(p380):doors(A,4):0.5656787096477279 
data(p380):persons(A,2):-4.085650342147718 
data(p380):lugboot(A,small):-1.8940523230063213 
data(p380):safety(A,med):1.0042293776387676 
data(p199):buying(A,vhigh):-3.1573045788446072 
data(p199):maint(A,high):-1.430997060019438 
data(p199):doors(A,morethanfive):0.4857213390648083 
data(p199):persons(A,4):2.243511264969282 
data(p199):lugboot(A,small):-1.2782233431655319 
data(p199):safety(A,low):-3.68493712166734 
data(p312):buying(A,vhigh):-2.243718209459449 
data(p312):maint(A,med):2.0217321000269814 
data(p312):doors(A,morethanfive):0.5872046955644746 
data(p312):persons(A,4):2.5807902952705772 
data(p312):lugboot(A,med):0.3280000396869804 
data(p312):safety(A,high):3.7961019245030174 
data(p389):buying(A,vhigh):-2.5740193202441084 
data(p389):maint(A,low):2.3918458763838246 
data(p389):doors(A,4):0.534256825977827 
data(p389):persons(A,4):2.4569421386698447 
data(p389):lugboot(A,small):-2.1366247287626168 
data(p389):safety(A,med):0.9833761857638881 
data(p996):buying(A,med):1.3496966469748373 
data(p996):maint(A,high):-1.0326060965188202 
data(p996):doors(A,2):-1.952138394760225 
data(p996):persons(A,more):2.4312218934139866 
data(p996):lugboot(A,med):0.4532358187784044 
data(p996):safety(A,high):3.8112240782949156 
data(p817):buying(A,high):-0.7639942210200544 
data(p817):maint(A,low):1.058593959107102 
data(p817):doors(A,4):0.39409467194666087 
data(p817):persons(A,2):-3.2792370292193618 
data(p817):lugboot(A,big):0.9288745477116587 
data(p817):safety(A,low):-3.290241779385646 
data(p1201):buying(A,med):1.6971312127820044 
data(p1201):maint(A,low):1.362169084983165 
data(p1201):doors(A,2):-1.3244556857046863 
data(p1201):persons(A,4):2.8303985925090522 
data(p1201):lugboot(A,med):-0.27369149516072977 
data(p1201):safety(A,low):-4.5715786409987915 
data(p518):buying(A,high):-1.5689386150278735 
data(p518):maint(A,vhigh):-3.5748132727346067 
data(p518):doors(A,morethanfive):0.9008441976474154 
data(p518):persons(A,2):-4.120946136232297 
data(p518):lugboot(A,med):0.6303235741430275 
data(p518):safety(A,med):1.3414250020738892 
data(p67):buying(A,vhigh):-2.2542271901137485 
data(p67):maint(A,vhigh):-2.810335881994419 
data(p67):doors(A,4):0.8346218687681951 
data(p67):persons(A,4):1.8643724981111853 
data(p67):lugboot(A,med):0.545347184274402 
data(p67):safety(A,low):-3.6419997596648295 
data(p446):buying(A,high):-2.0655548918685085 
data(p446):maint(A,vhigh):-4.238725406623613 
data(p446):doors(A,2):-1.8325930420860341 
data(p446):persons(A,4):2.109458634922612 
data(p446):lugboot(A,med):-0.12590616053050413 
data(p446):safety(A,med):0.8734388826581613 
data(p13):buying(A,vhigh):-2.193907537891166 
data(p13):maint(A,vhigh):-2.721988106264032 
data(p13):doors(A,2):-1.0577311926494437 
data(p13):persons(A,4):2.1097675694206792 
data(p13):lugboot(A,med):-0.06602582522526235 
data(p13):safety(A,low):-3.4840573497696057 
data(p1346):buying(A,low):3.011571021547933 
data(p1346):maint(A,vhigh):-3.16069732767034 
data(p1346):doors(A,3):-0.18516509463089656 
data(p1346):persons(A,more):3.0549899160811855 
data(p1346):lugboot(A,med):0.5207708444851358 
data(p1346):safety(A,med):1.8003503650946187 
data(p134):buying(A,vhigh):-3.9397835774898526 
data(p134):maint(A,high):-1.6163053785265815 
data(p134):doors(A,2):-1.4063293438928512 
data(p134):persons(A,more):2.1956263830583787 
data(p134):lugboot(A,big):2.2615856798706075 
data(p134):safety(A,med):1.8177381458651416 
data(p1537):buying(A,low):1.566375546131045 
data(p1537):maint(A,med):0.8724673859934448 
data(p1537):doors(A,2):-1.2129942252547272 
data(p1537):persons(A,more):2.019367881550694 
data(p1537):lugboot(A,big):1.5838758878333508 
data(p1537):safety(A,low):-4.706766790510276 
data(p1017):buying(A,med):1.2435643251318658 
data(p1017):maint(A,high):-1.3828648955512282 
data(p1017):doors(A,3):-0.3393042282873523 
data(p1017):persons(A,4):2.565017063816032 
data(p1017):lugboot(A,big):0.5623122264418714 
data(p1017):safety(A,high):3.5741144246428487 
data(p466):buying(A,high):-1.2170700503003544 
data(p466):maint(A,vhigh):-2.7247262079695185 
data(p466):doors(A,3):-0.000605784478993241 
data(p466):persons(A,2):-2.9328599796605417 
data(p466):lugboot(A,big):1.2100565698220498 
data(p466):safety(A,low):-2.815995019534937 
data(p361):buying(A,vhigh):-1.7079437675774118 
data(p361):maint(A,low):2.1611384224705446 
data(p361):doors(A,3):-0.2515908813644844 
data(p361):persons(A,4):2.14798788921401 
data(p361):lugboot(A,small):-1.0410196384729897 
data(p361):safety(A,low):-4.034280684696973 
data(p721):buying(A,high):-1.0315650728519534 
data(p721):maint(A,med):1.1967586518289979 
data(p721):doors(A,4):0.4589453540730309 
data(p721):persons(A,more):1.7881696170370953 
data(p721):lugboot(A,small):-1.8177843529519089 
data(p721):safety(A,low):-4.344513054949339 
data(p806):buying(A,high):-1.5249182427497325 
data(p806):maint(A,low):1.3703876613121595 
data(p806):doors(A,3):-0.09391285561685751 
data(p806):persons(A,more):3.260088516163965 
data(p806):lugboot(A,med):0.5165107869483605 
data(p806):safety(A,med):1.636632368006594 
data(p1181):buying(A,med):2.0174370010319813 
data(p1181):maint(A,med):1.3804794266111886 
data(p1181):doors(A,morethanfive):0.44404852841405146 
data(p1181):persons(A,more):2.2234981190856042 
data(p1181):lugboot(A,small):-2.6756250184507016 
data(p1181):safety(A,med):1.764119860883039 
data(p75):buying(A,vhigh):-2.8040139640054247 
data(p75):maint(A,vhigh):-3.027571229079002 
data(p75):doors(A,4):0.4061677670719948 
data(p75):persons(A,more):1.769432654714126 
data(p75):lugboot(A,small):-1.2223604467512046 
data(p75):safety(A,high):4.109915039476092 
data(p1453):buying(A,low):2.244513695476725 
data(p1453):maint(A,high):-0.275047406514728 
data(p1453):doors(A,3):0.025631305409074975 
data(p1453):persons(A,more):2.8818284074943743 
data(p1453):lugboot(A,med):0.5526521300061669 
data(p1453):safety(A,low):-4.645585591723849 
data(p1082):buying(A,med):1.9469884968320277 
data(p1082):maint(A,med):1.2514371973413774 
data(p1082):doors(A,2):-2.2266900795087663 
data(p1082):persons(A,2):-4.487995552272905 
data(p1082):lugboot(A,small):-2.074746681496679 
data(p1082):safety(A,med):1.4412222829629662 
data(p800):buying(A,high):-1.5213852406417687 
data(p800):maint(A,low):1.4272247056342642 
data(p800):doors(A,3):-0.5763554976572319 
data(p800):persons(A,4):2.1606346455411654 
data(p800):lugboot(A,big):1.849547775761897 
data(p800):safety(A,med):1.9088446258431306 
data(p1006):buying(A,med):0.9244870366383686 
data(p1006):maint(A,high):-0.7754727576032245 
data(p1006):doors(A,3):-0.046151931732824225 
data(p1006):persons(A,2):-3.3262416798780716 
data(p1006):lugboot(A,big):0.9126757321530659 
data(p1006):safety(A,low):-3.283138915941008 
data(p8):buying(A,vhigh):-2.263638380145977 
data(p8):maint(A,vhigh):-2.5928495506559512 
data(p8):doors(A,2):-0.8262667791695413 
data(p8):persons(A,2):-3.913792803494564 
data(p8):lugboot(A,big):2.2598563683647046 
data(p8):safety(A,med):1.41604745163362 
data(p973):buying(A,med):1.2350588336806834 
data(p973):maint(A,high):-0.6024962448154465 
data(p973):doors(A,2):-1.6251886402996802 
data(p973):persons(A,2):-2.970369450286774 
data(p973):lugboot(A,small):-1.5164990076206317 
data(p973):safety(A,low):-2.809701335735742 
data(p1615):buying(A,low):1.7526474105781786 
data(p1615):maint(A,med):0.9873534159590844 
data(p1615):doors(A,morethanfive):0.5935440205166199 
data(p1615):persons(A,more):2.5767541519899173 
data(p1615):lugboot(A,med):0.8095209068868591 
data(p1615):safety(A,low):-4.858986347599936 
data(p792):buying(A,high):-0.7913047739976478 
data(p792):maint(A,low):1.2349108944008997 
data(p792):doors(A,3):0.060696902244439 
data(p792):persons(A,2):-4.826903453354557 
data(p792):lugboot(A,big):0.5615654966238204 
data(p792):safety(A,high):3.251914238572715 
data(p1647):buying(A,low):1.2597805927038954 
data(p1647):maint(A,low):0.9542330468369062 
data(p1647):doors(A,2):-1.5329619367224194 
data(p1647):persons(A,more):2.126636265421128 
data(p1647):lugboot(A,big):1.148840507055896 
data(p1647):safety(A,high):3.102798564389355 
data(p168):buying(A,vhigh):-3.35316475813735 
data(p168):maint(A,high):-1.6557879449726394 
data(p168):doors(A,4):0.5129277398240802 
data(p168):persons(A,2):-4.207616947101676 
data(p168):lugboot(A,med):0.5059832908846063 
data(p168):safety(A,high):3.080333854120193 
data(p1660):buying(A,low):2.0709390292644887 
data(p1660):maint(A,low):1.1200086842583679 
data(p1660):doors(A,3):-0.8072995121549076 
data(p1660):persons(A,4):2.2321628323988087 
data(p1660):lugboot(A,med):-0.08124831809114864 
data(p1660):safety(A,low):-4.855720137125927 
data(p880):buying(A,med):2.3201812535017874 
data(p880):maint(A,vhigh):-2.0410872988788853 
data(p880):doors(A,2):-0.19862133013625347 
data(p880):persons(A,4):2.567616036121529 
data(p880):lugboot(A,big):1.5910575159080644 
data(p880):safety(A,low):-4.183141308564738 
data(p324):buying(A,vhigh):-2.1267320030688444 
data(p324):maint(A,med):1.979833202302164 
data(p324):doors(A,morethanfive):0.18538500308238887 
data(p324):persons(A,more):2.438745661264332 
data(p324):lugboot(A,big):0.6015650583470524 
data(p324):safety(A,high):3.101136280486186 
data(p470):buying(A,high):-2.118468541812681 
data(p470):maint(A,vhigh):-4.2079102906841435 
data(p470):doors(A,3):-0.36711132214379805 
data(p470):persons(A,4):1.7419832543122897 
data(p470):lugboot(A,small):-1.7554886381920634 
data(p470):safety(A,med):0.48001878647327956 
data(p307):buying(A,vhigh):-1.6656196689640936 
data(p307):maint(A,med):1.99516913246519 
data(p307):doors(A,morethanfive):0.5275745342537213 
data(p307):persons(A,4):2.435203252443252 
data(p307):lugboot(A,small):-1.302851415175577 
data(p307):safety(A,low):-3.990773322262239 
data(p856):buying(A,high):-1.1282111517986664 
data(p856):maint(A,low):1.286602991643585 
data(p856):doors(A,morethanfive):0.5128410114822164 
data(p856):persons(A,more):1.9128444551600674 
data(p856):lugboot(A,small):-1.878175672613067 
data(p856):safety(A,low):-4.381773924925314 
data(p1391):buying(A,low):3.430844436311874 
data(p1391):maint(A,vhigh):-3.301802663377744 
data(p1391):doors(A,morethanfive):0.8005757058742109 
data(p1391):persons(A,4):2.2956855110402516 
data(p1391):lugboot(A,med):0.38378740572630216 
data(p1391):safety(A,med):1.8391482371420471 
data(p747):buying(A,high):-0.9754922818459891 
data(p747):maint(A,med):1.3289456560453514 
data(p747):doors(A,morethanfive):0.39919239839950305 
data(p747):persons(A,4):2.826178940623565 
data(p747):lugboot(A,big):0.599458491400919 
data(p747):safety(A,high):3.4775750556036598 
data(p1023):buying(A,med):1.2805142022995943 
data(p1023):maint(A,high):-1.240738716199729 
data(p1023):doors(A,3):0.07131835144256918 
data(p1023):persons(A,more):3.147423390360156 
data(p1023):lugboot(A,med):0.38451552439398046 
data(p1023):safety(A,high):3.6766863899978555 
data(p328):buying(A,vhigh):-1.066822033478343 
data(p328):maint(A,low):1.8986726745495939 
data(p328):doors(A,2):-1.576105393563033 
data(p328):persons(A,2):-3.0053034570840618 
data(p328):lugboot(A,med):0.1746380099345106 
data(p328):safety(A,low):-2.906652281605794 
data(p1250):buying(A,med):1.5937679293124618 
data(p1250):maint(A,low):1.2742409202066283 
data(p1250):doors(A,4):0.46618988275142237 
data(p1250):persons(A,2):-5.04026203916884 
data(p1250):lugboot(A,big):1.2260884944575576 
data(p1250):safety(A,med):2.514432478177747 
data(p432):buying(A,vhigh):-2.058510592051762 
data(p432):maint(A,low):2.2240042739028403 
data(p432):doors(A,morethanfive):0.20042903089355252 
data(p432):persons(A,more):2.4506582129992855 
data(p432):lugboot(A,big):0.5089974135427124 
data(p432):safety(A,high):3.2052511879978343 
data(p151):buying(A,vhigh):-3.171505612454557 
data(p151):maint(A,high):-1.527195648290191 
data(p151):doors(A,3):-0.34514502295105676 
data(p151):persons(A,4):1.8944996434820807 
data(p151):lugboot(A,big):1.1432138090888637 
data(p151):safety(A,low):-3.9983211519103166 
data(p1617):buying(A,low):1.601517987032022 
data(p1617):maint(A,med):1.0140515149171625 
data(p1617):doors(A,morethanfive):0.44045153770956985 
data(p1617):persons(A,more):2.6708263843381537 
data(p1617):lugboot(A,med):0.7278958864953372 
data(p1617):safety(A,high):3.2794060164981427 
data(p1649):buying(A,low):2.208103730688523 
data(p1649):maint(A,low):1.2234756474094324 
data(p1649):doors(A,3):0.006743458559165008 
data(p1649):persons(A,2):-4.728466670812503 
data(p1649):lugboot(A,small):-1.4283273275863584 
data(p1649):safety(A,med):1.5254760852384055 
data(p1254):buying(A,med):1.8406995698640274 
data(p1254):maint(A,low):1.6317786246097203 
data(p1254):doors(A,4):0.3314324281885298 
data(p1254):persons(A,4):3.233792109929786 
data(p1254):lugboot(A,small):-0.7356896483726968 
data(p1254):safety(A,high):4.54354099365026 
data(p907):buying(A,med):2.3670634500666776 
data(p907):maint(A,vhigh):-2.0436339732056403 
data(p907):doors(A,3):-0.325591502948039 
data(p907):persons(A,4):2.0593216560623753 
data(p907):lugboot(A,big):1.2080311779097768 
data(p907):safety(A,low):-4.327442804525175 
data(p1232):buying(A,med):1.8653659399004672 
data(p1232):maint(A,low):1.5573589524220646 
data(p1232):doors(A,3):-0.6329255895722231 
data(p1232):persons(A,4):2.4643222811052348 
data(p1232):lugboot(A,big):1.6052705282285324 
data(p1232):safety(A,med):2.333754653047742 
data(p39):buying(A,vhigh):-2.958477863004432 
data(p39):maint(A,vhigh):-3.404348152533372 
data(p39):doors(A,3):-0.08641056680228032 
data(p39):persons(A,4):2.130961275178029 
data(p39):lugboot(A,small):-0.5729975863596479 
data(p39):safety(A,high):4.637057158304555 
data(p791):buying(A,high):-1.1714248053429237 
data(p791):maint(A,low):1.2358446515857213 
data(p791):doors(A,3):-0.16014234813986813 
data(p791):persons(A,2):-4.776177099107655 
data(p791):lugboot(A,big):1.6221044573252026 
data(p791):safety(A,med):1.8573093627164896 
data(p522):buying(A,high):-1.3736242618963161 
data(p522):maint(A,vhigh):-3.2866430954611654 
data(p522):doors(A,morethanfive):0.36705494932133564 
data(p522):persons(A,2):-4.24758445770646 
data(p522):lugboot(A,big):0.591551350950648 
data(p522):safety(A,high):2.927150175060276 
data(p610):buying(A,high):-0.21936303920125882 
data(p610):maint(A,high):0.09742583733274027 
data(p610):doors(A,4):0.41708645695911917 
data(p610):persons(A,4):2.2421493748155177 
data(p610):lugboot(A,big):1.0746493048227106 
data(p610):safety(A,low):-4.583818875535176 
data(p931):buying(A,med):2.3398907310613115 
data(p931):maint(A,vhigh):-2.1519232412592553 
data(p931):doors(A,4):0.8073769526003228 
data(p931):persons(A,4):2.1331480114214045 
data(p931):lugboot(A,med):0.382378257065284 
data(p931):safety(A,low):-4.222397734334296 
data(p843):buying(A,high):-0.8237925898864922 
data(p843):maint(A,low):1.244433168246917 
data(p843):doors(A,morethanfive):0.6287170419251412 
data(p843):persons(A,2):-4.706242370686017 
data(p843):lugboot(A,med):0.4845658663999284 
data(p843):safety(A,high):3.5077719077201936 
data(p888):buying(A,med):2.4918661993472084 
data(p888):maint(A,vhigh):-2.3316141310678864 
data(p888):doors(A,2):-1.9239494842575986 
data(p888):persons(A,more):2.406708904295833 
data(p888):lugboot(A,med):0.42297356428458505 
data(p888):safety(A,high):3.9182954873792806 
data(p724):buying(A,high):-0.9198249520771908 
data(p724):maint(A,med):1.167991803779191 
data(p724):doors(A,4):0.5601024369714903 
data(p724):persons(A,more):2.507197565293197 
data(p724):lugboot(A,med):0.8837941237560112 
data(p724):safety(A,low):-4.616805635244256 
data(p1563):buying(A,low):1.5944266780690894 
data(p1563):maint(A,med):0.9858160540157385 
data(p1563):doors(A,3):0.10882203607085654 
data(p1563):persons(A,more):3.030931971503363 
data(p1563):lugboot(A,med):0.4961241134202523 
data(p1563):safety(A,high):3.503485395370623 
data(p54):buying(A,vhigh):-2.8937923694425374 
data(p54):maint(A,vhigh):-3.2388925895732075 
data(p54):doors(A,3):0.2419263797734109 
data(p54):persons(A,more):2.5747458192787316 
data(p54):lugboot(A,big):0.7342561860661739 
data(p54):safety(A,high):3.1551488240077252 
data(p330):buying(A,vhigh):-1.3228803837599246 
data(p330):maint(A,low):2.0710678085233476 
data(p330):doors(A,2):-1.5282839512310304 
data(p330):persons(A,2):-4.294416342787526 
data(p330):lugboot(A,med):0.2009811259502502 
data(p330):safety(A,high):3.7582747049481515 
data(p399):buying(A,vhigh):-2.067606961603458 
data(p399):maint(A,low):2.2799850058768207 
data(p399):doors(A,4):0.3089790174323386 
data(p399):persons(A,more):1.8893276192530302 
data(p399):lugboot(A,small):-1.416805192545681 
data(p399):safety(A,high):4.302846853603734 
data(p213):buying(A,vhigh):-3.9811723228137503 
data(p213):maint(A,high):-1.9299692663602197 
data(p213):doors(A,morethanfive):0.3997984784687074 
data(p213):persons(A,more):2.5085034890964057 
data(p213):lugboot(A,med):0.6726319179193 
data(p213):safety(A,high):3.27405884474142 
data(p599):buying(A,high):-0.4177414318198895 
data(p599):maint(A,high):0.21423187313286757 
data(p599):doors(A,4):0.857809608724555 
data(p599):persons(A,2):-4.460739610335986 
data(p599):lugboot(A,med):0.737975498430379 
data(p599):safety(A,med):1.5275039374334143 
data(p1384):buying(A,low):2.2807612378822304 
data(p1384):maint(A,vhigh):-1.4854054358103064 
data(p1384):doors(A,morethanfive):0.4073514747513264 
data(p1384):persons(A,2):-3.2897690507240527 
data(p1384):lugboot(A,big):0.8745975142617127 
data(p1384):safety(A,low):-3.037128919715492 
data(p1467):buying(A,low):1.7203531009255935 
data(p1467):maint(A,high):-0.31939674219587605 
data(p1467):doors(A,4):0.22059304324638543 
data(p1467):persons(A,2):-4.940835807691388 
data(p1467):lugboot(A,big):0.3483899985045427 
data(p1467):safety(A,high):2.6007862079500663 
data(p148):buying(A,vhigh):-3.1229861079294987 
data(p148):maint(A,high):-1.417582659048335 
data(p148):doors(A,3):-0.7531271280949743 
data(p148):persons(A,4):1.5792181902580786 
data(p148):lugboot(A,med):0.04550558089116998 
data(p148):safety(A,low):-3.873138207252414 
data(p1273):buying(A,med):1.287367950353911 
data(p1273):maint(A,low):1.2751341082670358 
data(p1273):doors(A,morethanfive):0.6361972982544659 
data(p1273):persons(A,2):-3.4157476141523415 
data(p1273):lugboot(A,med):0.48216598785745957 
data(p1273):safety(A,low):-3.3640749777325163 
data(p1684):buying(A,low):2.1989365617506387 
data(p1684):maint(A,low):1.2138988874629066 
data(p1684):doors(A,4):0.3832201760337309 
data(p1684):persons(A,4):3.053038249952908 
data(p1684):lugboot(A,small):-0.9985080684520783 
data(p1684):safety(A,low):-4.66562762364653 
data(p60):buying(A,vhigh):-2.226489428262411 
data(p60):maint(A,vhigh):-2.629934420782175 
data(p60):doors(A,4):0.5961337446980975 
data(p60):persons(A,2):-3.949702754587011 
data(p60):lugboot(A,med):0.4752631859983816 
data(p60):safety(A,high):3.2926628865555077 
data(p1572):buying(A,low):1.3949633486414605 
data(p1572):maint(A,med):0.8526162387269112 
data(p1572):doors(A,4):0.45060669289953353 
data(p1572):persons(A,2):-5.126315389061398 
data(p1572):lugboot(A,med):0.5141535133014612 
data(p1572):safety(A,high):3.0642283035833393 
data(p1022):buying(A,med):1.3703400472090546 
data(p1022):maint(A,high):-1.2999797240624187 
data(p1022):doors(A,3):-0.18147121659893026 
data(p1022):persons(A,more):3.396644871727237 
data(p1022):lugboot(A,med):0.4331119041338953 
data(p1022):safety(A,med):1.856997323747698 
data(p1700):buying(A,low):1.899855264902418 
data(p1700):maint(A,low):1.058652353082599 
data(p1700):doors(A,4):0.28384529736411573 
data(p1700):persons(A,more):2.6147902519949264 
data(p1700):lugboot(A,big):1.3240560807812372 
data(p1700):safety(A,med):2.8935213406211178 
data(p413):buying(A,vhigh):-1.6870869280474565 
data(p413):maint(A,low):2.0622943321626477 
data(p413):doors(A,morethanfive):0.5248142688460361 
data(p413):persons(A,2):-4.46280262587943 
data(p413):lugboot(A,big):1.3546221653297195 
data(p413):safety(A,med):2.074728890334162 
data(p152):buying(A,vhigh):-4.153301811575453 
data(p152):maint(A,high):-1.863225198213528 
data(p152):doors(A,3):-0.5867114017273843 
data(p152):persons(A,4):1.889010866036685 
data(p152):lugboot(A,big):1.7552040986540929 
data(p152):safety(A,med):1.7763654658686254 
data(p1657):buying(A,low):2.284754202847225 
data(p1657):maint(A,low):1.2255341401830566 
data(p1657):doors(A,3):-0.2642496668366192 
data(p1657):persons(A,4):2.7242073077437094 
data(p1657):lugboot(A,small):-0.7921690149903863 
data(p1657):safety(A,low):-4.635025856161314 
data(p1427):buying(A,low):2.764772463703919 
data(p1427):maint(A,high):-0.2726254935723572 
data(p1427):doors(A,2):-2.7028521525397724 
data(p1427):persons(A,more):2.4336409393054317 
data(p1427):lugboot(A,med):0.444075839151341 
data(p1427):safety(A,med):1.866189916360691 
data(p748):buying(A,high):-0.9805127355160655 
data(p748):maint(A,med):1.2457403106351885 
data(p748):doors(A,morethanfive):0.5401070388323985 
data(p748):persons(A,more):1.8379291885927969 
data(p748):lugboot(A,small):-1.9185392045790022 
data(p748):safety(A,low):-4.346443904637433 
data(p1112):buying(A,med):1.6041357445378435 
data(p1112):maint(A,med):1.2899194190331067 
data(p1112):doors(A,3):-0.5241162823530887 
data(p1112):persons(A,2):-4.892270123164304 
data(p1112):lugboot(A,med):0.1384168614611004 
data(p1112):safety(A,med):1.8648931027303086 
data(p48):buying(A,vhigh):-2.7878544156704588 
data(p48):maint(A,vhigh):-3.1668263597652757 
data(p48):doors(A,3):0.39571683961745446 
data(p48):persons(A,more):2.0498687497283465 
data(p48):lugboot(A,small):-1.186123295791649 
data(p48):safety(A,high):4.284015076523912 
data(p884):buying(A,med):2.819158092117025 
data(p884):maint(A,vhigh):-2.5364806267182765 
data(p884):doors(A,2):-2.8910559028480134 
data(p884):persons(A,more):1.5710657268288266 
data(p884):lugboot(A,small):-2.9469332684899077 
data(p884):safety(A,med):1.0885715223187116 
data(p193):buying(A,vhigh):-2.7139750375179186 
data(p193):maint(A,high):-1.1551112840778823 
data(p193):doors(A,morethanfive):0.7203123345899863 
data(p193):persons(A,2):-2.901879644208072 
