data(p140):handicapped_infants(A,y):0.2116940106905232 
data(p378):mx_missile(A,n):0.10201632951361038 
data(p378):immigration(A,n):0.6834054198086666 
data(p378):superfund_right_to_sue(A,y):-0.18916120201049738 
data(p356):handicapped_infants(A,y):0.04688249403446121 
data(p356):water_project_cost_sharing(A,n):-0.2090244895343019 
data(p356):budget_resolution(A,y):1.1553859537467084 
data(p356):physician_fee_freeze(A,y):-5.107374073999865 
data(p356):el_salvador_aid(A,n):-0.29987926813405485 
data(p356):religious_groups_in_schools(A,n):-0.3023100339648764 
data(p356):anti_satellite_test_ban(A,n):-0.21257858246739866 
data(p356):aid_to_nicaraguan_contras(A,y):0.38717410505157257 
data(p356):mx_missile(A,y):1.7350068220196848 
data(p356):immigration(A,y):-0.8962850108952123 
data(p356):synfuels_corporation_cutback(A,n):-1.400226202546887 
data(p356):education_spending(A,n):1.2498416914237078 
data(p356):superfund_right_to_sue(A,n):0.40925800490983427 
data(p356):crime(A,y):0.01829356599932156 
data(p356):duty_free_exports(A,y):0.12208489211312165 
data(p356):export_administration_act_south_africa(A,y):-0.5095237545475083 
data(p347):handicapped_infants(A,n):0.5514237075302973 
data(p347):water_project_cost_sharing(A,n):-0.10011742550023522 
data(p347):budget_resolution(A,n):-1.0344282572276646 
data(p347):physician_fee_freeze(A,y):-4.892254997088191 
data(p347):el_salvador_aid(A,y):-0.19384554590917438 
data(p347):religious_groups_in_schools(A,y):0.2282685778288082 
data(p347):anti_satellite_test_ban(A,n):-0.2975952359100459 
data(p347):aid_to_nicaraguan_contras(A,n):2.1890059879411394 
data(p347):mx_missile(A,n):0.1383589590864847 
data(p347):immigration(A,y):-0.7827715754101295 
data(p347):synfuels_corporation_cutback(A,n):-1.1962761918254359 
data(p347):education_spending(A,y):0.9168257359575565 
data(p347):superfund_right_to_sue(A,y):-0.0667770774975108 
data(p347):crime(A,y):0.04716411315988375 
data(p347):duty_free_exports(A,n):-0.36137477491513037 
data(p347):export_administration_act_south_africa(A,y):-0.532648215639814 
data(p223):handicapped_infants(A,y):0.210088751151317 
data(p223):water_project_cost_sharing(A,n):-0.1827423392917261 
data(p223):budget_resolution(A,y):0.981517298302393 
data(p223):physician_fee_freeze(A,n):1.3242392979837412 
data(p223):el_salvador_aid(A,n):-0.3180022778542086 
data(p223):religious_groups_in_schools(A,n):-0.2842968058592169 
data(p223):anti_satellite_test_ban(A,y):-0.1900033990948823 
data(p223):aid_to_nicaraguan_contras(A,y):0.4036130306436024 
data(p223):mx_missile(A,y):1.7305160199699503 
data(p223):immigration(A,n):0.6662328580584373 
data(p223):synfuels_corporation_cutback(A,y):0.24739677009833863 
data(p223):education_spending(A,n):1.1899130894682532 
data(p223):superfund_right_to_sue(A,n):0.4358220561331681 
data(p223):crime(A,n):0.15705210380245724 
data(p223):duty_free_exports(A,y):0.1130244950805846 
data(p29):handicapped_infants(A,y):0.1887785544668318 
data(p29):water_project_cost_sharing(A,n):-0.11149956193840205 
data(p29):budget_resolution(A,n):-0.8986968745017423 
data(p29):physician_fee_freeze(A,y):-4.8330818128675075 
data(p29):el_salvador_aid(A,y):-0.19443338672031127 
data(p29):religious_groups_in_schools(A,n):-0.21561290782269582 
data(p29):anti_satellite_test_ban(A,y):-0.16830000406517062 
data(p29):aid_to_nicaraguan_contras(A,y):0.42368054834061136 
data(p29):mx_missile(A,y):1.841920704655278 
data(p29):immigration(A,n):0.7216509022221155 
data(p29):synfuels_corporation_cutback(A,n):-1.3082935911840872 
data(p29):education_spending(A,y):0.8786247449514296 
data(p29):superfund_right_to_sue(A,y):-0.12422926236350687 
data(p29):crime(A,y):0.057427757789349124 
data(p29):duty_free_exports(A,n):-0.49221183973401206 
data(p29):export_administration_act_south_africa(A,y):-0.5273888866289462 
data(p32):handicapped_infants(A,y):0.210088751151317 
data(p32):water_project_cost_sharing(A,y):1.7559558418236227 
data(p32):budget_resolution(A,y):1.0020150759408144 
data(p32):physician_fee_freeze(A,n):1.2751797120222335 
data(p32):el_salvador_aid(A,n):-0.33012914531503307 
data(p32):religious_groups_in_schools(A,n):-0.28689280420602253 
data(p32):anti_satellite_test_ban(A,y):-0.1900033990948823 
data(p32):aid_to_nicaraguan_contras(A,y):0.4094923316940241 
data(p32):mx_missile(A,y):1.7231445454641958 
data(p32):immigration(A,n):0.6831888614321088 
data(p32):synfuels_corporation_cutback(A,y):0.2538171480746893 
data(p32):education_spending(A,n):1.1596281486610607 
data(p32):superfund_right_to_sue(A,n):0.42583589457471666 
data(p32):crime(A,n):0.15705210380245724 
data(p32):duty_free_exports(A,y):0.10198213483331522 
data(p319):handicapped_infants(A,n):0.5077440158430316 
data(p319):water_project_cost_sharing(A,n):-0.17587100619560783 
data(p319):budget_resolution(A,y):1.0303579932936793 
data(p319):physician_fee_freeze(A,n):1.6511682372992726 
data(p319):el_salvador_aid(A,n):-0.32166555592080937 
data(p319):religious_groups_in_schools(A,n):-0.2920877847889192 
data(p319):anti_satellite_test_ban(A,y):-0.1827252019081728 
data(p319):aid_to_nicaraguan_contras(A,y):0.4087022697217801 
data(p319):mx_missile(A,y):1.7273321589736688 
data(p319):immigration(A,n):0.5684694299251438 
data(p319):synfuels_corporation_cutback(A,n):-1.2662675903936729 
data(p319):education_spending(A,n):1.159868954802927 
data(p319):superfund_right_to_sue(A,n):0.4336037683979003 
data(p319):crime(A,n):0.23182172332940593 
data(p319):duty_free_exports(A,y):0.11819145606065692 
data(p56):handicapped_infants(A,n):0.5159262522312191 
data(p56):water_project_cost_sharing(A,y):1.9036792828874456 
data(p56):budget_resolution(A,n):-1.3005494660146177 
data(p56):physician_fee_freeze(A,y):-4.546977288807014 
data(p56):el_salvador_aid(A,y):-0.1572632844037192 
data(p56):religious_groups_in_schools(A,y):0.23740516165636757 
data(p56):anti_satellite_test_ban(A,n):-0.291074366906644 
data(p56):aid_to_nicaraguan_contras(A,n):2.1443932182477723 
data(p56):mx_missile(A,n):0.12299963483176297 
data(p56):immigration(A,y):-0.8642316727009495 
data(p56):synfuels_corporation_cutback(A,y):0.6531646185025614 
data(p56):education_spending(A,y):0.9014699325260834 
data(p56):superfund_right_to_sue(A,y):-0.16947230006251887 
data(p56):crime(A,y):0.05969094126509193 
data(p56):duty_free_exports(A,n):-0.289614843610578 
data(p56):export_administration_act_south_africa(A,n):0.025575880733078617 
data(p413):handicapped_infants(A,n):0.5514237075302973 
data(p413):water_project_cost_sharing(A,n):-0.10011742550023522 
data(p413):budget_resolution(A,n):-1.0344282572276646 
data(p413):physician_fee_freeze(A,y):-4.892254997088191 
data(p413):el_salvador_aid(A,y):-0.19384554590917438 
data(p413):religious_groups_in_schools(A,y):0.2282685778288082 
data(p413):anti_satellite_test_ban(A,n):-0.2975952359100459 
data(p413):aid_to_nicaraguan_contras(A,n):2.1890059879411394 
data(p413):mx_missile(A,n):0.1383589590864847 
data(p413):immigration(A,y):-0.7827715754101295 
data(p413):synfuels_corporation_cutback(A,n):-1.1962761918254359 
data(p413):education_spending(A,y):0.9168257359575565 
data(p413):superfund_right_to_sue(A,y):-0.0667770774975108 
data(p413):crime(A,y):0.04716411315988375 
data(p413):duty_free_exports(A,n):-0.36137477491513037 
data(p413):export_administration_act_south_africa(A,y):-0.532648215639814 
data(p338):handicapped_infants(A,y):0.2116940106905232 
data(p338):water_project_cost_sharing(A,n):-0.17587100619560783 
data(p338):budget_resolution(A,y):1.0237268518704568 
data(p338):physician_fee_freeze(A,n):1.6720927470902438 
data(p338):el_salvador_aid(A,n):-0.3226001521300871 
data(p338):religious_groups_in_schools(A,n):-0.2920877847889192 
data(p338):anti_satellite_test_ban(A,y):-0.1862268909405914 
data(p338):aid_to_nicaraguan_contras(A,y):0.4036130306436024 
data(p338):mx_missile(A,y):1.69484289443903 
data(p338):immigration(A,n):0.6473177936510192 
data(p338):synfuels_corporation_cutback(A,n):-1.2732536884522998 
data(p338):education_spending(A,n):1.1563892178390132 
data(p338):superfund_right_to_sue(A,n):0.4298474768642691 
data(p338):crime(A,n):0.2316895977635152 
data(p338):duty_free_exports(A,y):0.11819145606065692 
data(p338):export_administration_act_south_africa(A,y):-0.3769883664914608 
data(p49):handicapped_infants(A,y):0.2026774301785334 
data(p49):water_project_cost_sharing(A,y):1.8078996550651405 
data(p49):budget_resolution(A,y):1.1178778263717237 
data(p49):physician_fee_freeze(A,n):1.6585400041699068 
data(p49):el_salvador_aid(A,n):-0.34096514295629654 
data(p49):religious_groups_in_schools(A,n):-0.29468378313572485 
data(p49):anti_satellite_test_ban(A,y):-0.22768080428057522 
data(p49):aid_to_nicaraguan_contras(A,y):0.4094923316940241 
data(p49):mx_missile(A,n):0.13885036721093905 
data(p49):immigration(A,n):0.7474260034804862 
data(p49):synfuels_corporation_cutback(A,n):-1.3069993130674298 
data(p49):education_spending(A,n):1.1641776697450947 
data(p49):superfund_right_to_sue(A,n):0.447963238694327 
data(p49):crime(A,y):0.044763672940616096 
data(p49):duty_free_exports(A,n):-0.4731637716460203 
data(p49):export_administration_act_south_africa(A,y):-0.39821581583802496 
data(p417):handicapped_infants(A,y):0.12747259532779945 
data(p417):water_project_cost_sharing(A,y):1.7872692846398446 
data(p417):budget_resolution(A,n):-1.1482212743006954 
data(p417):physician_fee_freeze(A,y):-4.91695113499624 
data(p417):el_salvador_aid(A,y):-0.1608315921131936 
data(p417):religious_groups_in_schools(A,y):0.2526908463161814 
data(p417):anti_satellite_test_ban(A,n):-0.3039948411444108 
data(p417):aid_to_nicaraguan_contras(A,n):2.2035745408919394 
data(p417):mx_missile(A,n):0.1446404661762657 
data(p417):immigration(A,y):-0.9442590476687753 
data(p417):synfuels_corporation_cutback(A,n):-1.274166285839726 
data(p417):education_spending(A,n):1.5044851378282413 
data(p417):superfund_right_to_sue(A,y):-0.06278533543222464 
data(p417):crime(A,y):0.05275130290040948 
data(p417):duty_free_exports(A,n):-0.3555359787677339 
data(p417):export_administration_act_south_africa(A,y):-0.5812048698786437 
data(p306):handicapped_infants(A,n):0.5546652563347352 
data(p306):water_project_cost_sharing(A,n):-0.10011742550023522 
data(p306):budget_resolution(A,n):-1.036589610542342 
data(p306):physician_fee_freeze(A,y):-4.754368980250471 
data(p306):el_salvador_aid(A,y):-0.19384554590917438 
data(p306):religious_groups_in_schools(A,y):0.2282685778288082 
data(p306):anti_satellite_test_ban(A,n):-0.2975952359100459 
data(p306):aid_to_nicaraguan_contras(A,n):2.2064658381093483 
data(p306):mx_missile(A,n):0.1383589590864847 
data(p306):immigration(A,y):-0.7827715754101295 
data(p306):synfuels_corporation_cutback(A,n):-1.213940846944111 
data(p306):education_spending(A,y):0.9168257359575565 
data(p306):superfund_right_to_sue(A,y):-0.0633998068428534 
data(p306):crime(A,y):0.04716411315988375 
data(p306):duty_free_exports(A,n):-0.36172930664417724 
data(p306):export_administration_act_south_africa(A,n):0.02258914115809789 
data(p34):handicapped_infants(A,n):0.4772041190394537 
data(p34):water_project_cost_sharing(A,y):1.8872697852878948 
data(p34):budget_resolution(A,n):-1.0843340277780256 
data(p34):physician_fee_freeze(A,y):-4.8414258216313275 
data(p34):el_salvador_aid(A,y):-0.2040834197207329 
data(p34):religious_groups_in_schools(A,y):0.20464388860477015 
data(p34):anti_satellite_test_ban(A,n):-0.304245866757893 
data(p34):aid_to_nicaraguan_contras(A,n):2.2636301563263572 
data(p34):mx_missile(A,n):0.11069018742596651 
data(p34):immigration(A,n):0.65459688036518 
data(p34):synfuels_corporation_cutback(A,n):-1.2483899347229344 
data(p34):education_spending(A,y):0.891999907242203 
data(p34):superfund_right_to_sue(A,y):-0.13623788542892287 
data(p34):crime(A,y):0.07363422010117832 
data(p34):duty_free_exports(A,n):-0.3049492355053248 
data(p34):export_administration_act_south_africa(A,y):-0.6004191789920922 
data(p36):handicapped_infants(A,n):0.48044566784389164 
data(p36):water_project_cost_sharing(A,y):1.9302686792963242 
data(p36):budget_resolution(A,n):-1.0864953810927032 
data(p36):physician_fee_freeze(A,y):-4.674303739329006 
data(p36):el_salvador_aid(A,y):-0.2040834197207329 
data(p36):religious_groups_in_schools(A,y):0.20464388860477015 
data(p36):anti_satellite_test_ban(A,n):-0.304245866757893 
data(p36):aid_to_nicaraguan_contras(A,n):2.281090006494566 
data(p36):mx_missile(A,n):0.11069018742596651 
data(p36):immigration(A,n):0.656272814698797 
data(p36):synfuels_corporation_cutback(A,n):-1.270532313714763 
data(p36):education_spending(A,y):0.891999907242203 
data(p36):superfund_right_to_sue(A,y):-0.118869064919256 
data(p36):crime(A,y):0.07363422010117832 
data(p36):duty_free_exports(A,n):-0.3053037672343717 
data(p36):export_administration_act_south_africa(A,n):-0.019059477946415618 
data(p64):handicapped_infants(A,y):0.19158509254710385 
data(p64):water_project_cost_sharing(A,y):1.7786149169885481 
data(p64):budget_resolution(A,y):1.0197648987259131 
data(p64):physician_fee_freeze(A,n):1.322172909179934 
data(p64):el_salvador_aid(A,n):-0.3278876051581072 
data(p64):religious_groups_in_schools(A,n):-0.28689280420602253 
data(p64):anti_satellite_test_ban(A,y):-0.22028589463992096 
data(p64):aid_to_nicaraguan_contras(A,y):0.4094923316940241 
data(p64):mx_missile(A,y):1.6555277690300436 
data(p64):immigration(A,n):0.7253300850316126 
data(p64):synfuels_corporation_cutback(A,y):0.28654296682543834 
data(p64):education_spending(A,n):1.1636488072166082 
data(p64):superfund_right_to_sue(A,n):0.4313460884411508 
data(p64):crime(A,n):0.1561708107110275 
data(p64):duty_free_exports(A,n):-0.4593324101264399 
data(p64):export_administration_act_south_africa(A,y):-0.412179665773953 
data(p345):handicapped_infants(A,n):0.533380980903944 
data(p345):water_project_cost_sharing(A,n):-0.1827423392917261 
data(p345):budget_resolution(A,y):1.0035977724278566 
data(p345):physician_fee_freeze(A,n):1.4824437107586768 
data(p345):el_salvador_aid(A,n):-0.31706768164493093 
data(p345):religious_groups_in_schools(A,n):-0.2842968058592169 
data(p345):anti_satellite_test_ban(A,y):-0.173280077834873 
data(p345):aid_to_nicaraguan_contras(A,y):0.4087022697217801 
data(p345):mx_missile(A,y):1.7463572389099695 
data(p345):immigration(A,y):-0.7825304726054463 
data(p345):synfuels_corporation_cutback(A,y):0.176214947275549 
data(p345):education_spending(A,n):1.1846829264324155 
data(p345):superfund_right_to_sue(A,n):0.39929118791632573 
data(p345):crime(A,n):0.15718422936834797 
data(p345):duty_free_exports(A,y):0.14720675958507315 
data(p345):export_administration_act_south_africa(A,y):-0.3839183122844558 
data(p235):handicapped_infants(A,n):0.5665192653673371 
data(p235):water_project_cost_sharing(A,n):-0.14884682605768837 
data(p235):budget_resolution(A,y):1.1810856340945568 
data(p235):physician_fee_freeze(A,n):1.7706627703849853 
data(p235):el_salvador_aid(A,n):-0.33658248203546126 
data(p235):religious_groups_in_schools(A,y):0.2614716279863086 
data(p235):anti_satellite_test_ban(A,y):-0.18382211217327418 
data(p235):aid_to_nicaraguan_contras(A,y):0.40744566294372775 
data(p235):mx_missile(A,y):1.71456574465808 
data(p235):immigration(A,y):-0.7392029255607351 
data(p235):synfuels_corporation_cutback(A,n):-1.2724218896109287 
data(p235):education_spending(A,y):0.8503821561853935 
data(p235):superfund_right_to_sue(A,n):0.42619847804483596 
data(p235):crime(A,y):0.034119222168519765 
data(p235):duty_free_exports(A,y):0.15785797588224776 
data(p426):handicapped_infants(A,n):0.5255527666740568 
data(p426):water_project_cost_sharing(A,n):-0.1749678302303841 
data(p426):budget_resolution(A,y):1.0450596627690998 
data(p426):physician_fee_freeze(A,n):1.5049471712848173 
data(p426):el_salvador_aid(A,n):-0.30941574914342074 
data(p426):religious_groups_in_schools(A,n):-0.2842968058592169 
data(p426):anti_satellite_test_ban(A,y):-0.173280077834873 
data(p426):aid_to_nicaraguan_contras(A,y):0.4087022697217801 
data(p426):mx_missile(A,n):0.1562434152744618 
data(p426):immigration(A,y):-0.7475112424639422 
data(p426):synfuels_corporation_cutback(A,y):0.20890696299018888 
data(p426):education_spending(A,n):1.2231714023273528 
data(p426):superfund_right_to_sue(A,n):0.4207945531446003 
data(p426):crime(A,n):0.15718422936834797 
data(p426):duty_free_exports(A,y):0.14955039396387906 
data(p46):handicapped_infants(A,y):0.23931612309177652 
data(p46):water_project_cost_sharing(A,y):1.774351614627663 
data(p46):budget_resolution(A,y):1.035860307747588 
data(p46):physician_fee_freeze(A,n):1.3106034138575136 
data(p46):el_salvador_aid(A,n):-0.3224772128135227 
data(p46):religious_groups_in_schools(A,n):-0.28689280420602253 
data(p46):anti_satellite_test_ban(A,y):-0.1900033990948823 
data(p46):aid_to_nicaraguan_contras(A,y):0.4094923316940241 
data(p46):immigration(A,n):0.7035026624007433 
data(p46):synfuels_corporation_cutback(A,y):0.2785478523154 
data(p46):education_spending(A,n):1.1831855165465346 
data(p46):superfund_right_to_sue(A,n):0.43730459527743354 
data(p46):crime(A,n):0.15705210380245724 
data(p46):duty_free_exports(A,y):0.10432576921212114 
data(p178):handicapped_infants(A,n):0.533380980903944 
data(p178):water_project_cost_sharing(A,n):-0.16899270849312434 
data(p178):budget_resolution(A,y):1.084824035818272 
data(p178):physician_fee_freeze(A,n):1.5285600142750755 
data(p178):el_salvador_aid(A,n):-0.300777134080464 
data(p178):religious_groups_in_schools(A,n):-0.24465492874569356 
data(p178):anti_satellite_test_ban(A,y):-0.173280077834873 
data(p178):aid_to_nicaraguan_contras(A,y):0.4087022697217801 
data(p178):mx_missile(A,y):1.7623028956916655 
data(p178):immigration(A,y):-0.7798820567518198 
data(p178):synfuels_corporation_cutback(A,y):0.176214947275549 
data(p178):superfund_right_to_sue(A,n):0.41381579214034786 
data(p178):crime(A,n):0.1820662902623131 
data(p178):duty_free_exports(A,y):0.15269101490217543 
data(p178):export_administration_act_south_africa(A,y):-0.3839183122844558 
data(p220):handicapped_infants(A,n):0.45947939332662097 
data(p220):water_project_cost_sharing(A,y):1.7267107351093307 
data(p220):budget_resolution(A,y):1.1152066603446456 
data(p220):physician_fee_freeze(A,n):1.3166966468974135 
data(p220):el_salvador_aid(A,n):-0.33992832311355725 
data(p220):religious_groups_in_schools(A,n):-0.29711505338197963 
data(p220):anti_satellite_test_ban(A,n):-0.27607056361141225 
data(p220):aid_to_nicaraguan_contras(A,y):0.4145815707722019 
data(p220):mx_missile(A,y):1.7352957238820963 
data(p220):immigration(A,n):0.6276784493002625 
data(p220):synfuels_corporation_cutback(A,y):0.22350511039434187 
data(p220):education_spending(A,n):1.1870909639532503 
data(p220):superfund_right_to_sue(A,n):0.4329737131212685 
data(p220):crime(A,y):0.04844330714723713 
data(p220):duty_free_exports(A,y):0.09791305229713368 
data(p220):export_administration_act_south_africa(A,y):-0.4149306097982038 
data(p330):handicapped_infants(A,y):0.09200333225930435 
data(p330):budget_resolution(A,y):1.0548369463717644 
data(p330):physician_fee_freeze(A,n):1.7029484452513257 
data(p330):el_salvador_aid(A,n):-0.3226001521300871 
data(p330):religious_groups_in_schools(A,y):0.2619018156432639 
data(p330):anti_satellite_test_ban(A,y):-0.1730052587130008 
data(p330):aid_to_nicaraguan_contras(A,y):0.4094923316940241 
data(p330):mx_missile(A,y):1.7070020066524878 
data(p330):immigration(A,y):-0.8503814279377055 
data(p330):synfuels_corporation_cutback(A,n):-1.26623264853443 
data(p330):education_spending(A,n):1.1866086437775032 
data(p330):superfund_right_to_sue(A,n):0.3895603171137955 
data(p330):crime(A,n):0.21469801622429788 
data(p330):duty_free_exports(A,y):0.15237372056514548 
data(p22):handicapped_infants(A,y):0.20523855411463138 
data(p22):water_project_cost_sharing(A,y):1.7187907689813102 
data(p22):budget_resolution(A,y):1.1084274470612892 
data(p22):physician_fee_freeze(A,n):1.644377714992014 
data(p22):el_salvador_aid(A,n):-0.3511242323407538 
data(p22):religious_groups_in_schools(A,n):-0.29468378313572485 
data(p22):anti_satellite_test_ban(A,y):-0.17883251989912555 
data(p22):aid_to_nicaraguan_contras(A,y):0.4094923316940241 
data(p22):mx_missile(A,y):1.706263327582118 
data(p22):immigration(A,n):0.6460454045382182 
data(p22):synfuels_corporation_cutback(A,n):-1.322712934477064 
data(p22):education_spending(A,n):1.1473261217603812 
data(p22):duty_free_exports(A,y):0.11279217183671522 
data(p22):export_administration_act_south_africa(A,y):-0.40495797385071614 
data(p200):handicapped_infants(A,y):0.23931612309177652 
data(p200):water_project_cost_sharing(A,y):1.729033949014812 
data(p200):budget_resolution(A,n):-0.904668364610675 
data(p200):physician_fee_freeze(A,n):1.4500302973325643 
data(p200):el_salvador_aid(A,n):-0.29637608766017054 
data(p200):religious_groups_in_schools(A,n):-0.26940413224928167 
data(p200):anti_satellite_test_ban(A,y):-0.1513153648362088 
data(p200):aid_to_nicaraguan_contras(A,y):0.43217764109071855 
data(p200):immigration(A,n):0.7535315243895006 
data(p200):synfuels_corporation_cutback(A,y):0.3147254163629191 
data(p200):education_spending(A,n):1.297075738378277 
data(p200):superfund_right_to_sue(A,n):0.5507850387633997 
data(p200):crime(A,n):0.1543730524206062 
data(p200):duty_free_exports(A,y):0.1329940572686563 
data(p138):handicapped_infants(A,n):0.5632777165628992 
data(p138):budget_resolution(A,y):1.0743521171426484 
data(p138):physician_fee_freeze(A,n):1.7360046957684228 
data(p138):el_salvador_aid(A,n):-0.3323993299286114 
data(p138):religious_groups_in_schools(A,y):0.27675731264612263 
data(p138):anti_satellite_test_ban(A,y):-0.18067498747552727 
data(p138):aid_to_nicaraguan_contras(A,y):0.4145815707722019 
data(p138):mx_missile(A,y):1.7179562796702155 
data(p138):immigration(A,y):-0.7594107809202295 
data(p138):synfuels_corporation_cutback(A,n):-1.3017534811797058 
data(p138):education_spending(A,n):1.2072323253539523 
data(p138):superfund_right_to_sue(A,n):0.3933166086474266 
data(p138):crime(A,y):0.021973200205942588 
data(p138):duty_free_exports(A,y):0.15237372056514548 
data(p138):export_administration_act_south_africa(A,y):-0.37675064348907844 
data(p25):handicapped_infants(A,y):0.2116940106905232 
data(p25):water_project_cost_sharing(A,n):-0.17587100619560783 
data(p25):budget_resolution(A,y):1.0237268518704568 
data(p25):physician_fee_freeze(A,n):1.6418305157157453 
data(p25):el_salvador_aid(A,n):-0.3226001521300871 
data(p25):religious_groups_in_schools(A,n):-0.2920877847889192 
data(p25):anti_satellite_test_ban(A,y):-0.1862268909405914 
data(p25):aid_to_nicaraguan_contras(A,y):0.4036130306436024 
data(p25):mx_missile(A,y):1.705535439028244 
data(p25):immigration(A,n):0.6503421230812465 
data(p25):synfuels_corporation_cutback(A,n):-1.2748994765057515 
data(p25):education_spending(A,n):1.1563892178390132 
data(p25):superfund_right_to_sue(A,n):0.4298474768642691 
data(p25):crime(A,n):0.2316895977635152 
data(p25):duty_free_exports(A,y):0.11819145606065692 
data(p185):handicapped_infants(A,n):0.533380980903944 
data(p185):water_project_cost_sharing(A,n):-0.1827423392917261 
data(p185):budget_resolution(A,y):1.0035977724278566 
data(p185):physician_fee_freeze(A,n):1.4824437107586768 
data(p185):el_salvador_aid(A,n):-0.31706768164493093 
data(p185):religious_groups_in_schools(A,n):-0.2842968058592169 
data(p185):anti_satellite_test_ban(A,y):-0.173280077834873 
data(p185):aid_to_nicaraguan_contras(A,y):0.4087022697217801 
data(p185):mx_missile(A,y):1.7463572389099695 
data(p185):immigration(A,y):-0.7825304726054463 
data(p185):synfuels_corporation_cutback(A,y):0.176214947275549 
data(p185):education_spending(A,n):1.1846829264324155 
data(p185):superfund_right_to_sue(A,n):0.39929118791632573 
data(p185):crime(A,n):0.15718422936834797 
data(p185):duty_free_exports(A,y):0.14720675958507315 
data(p185):export_administration_act_south_africa(A,y):-0.3839183122844558 
data(p206):handicapped_infants(A,n):0.5749707996151394 
data(p206):water_project_cost_sharing(A,n):-0.14884682605768837 
data(p206):budget_resolution(A,y):1.2032408738883897 
data(p206):physician_fee_freeze(A,n):1.7958923408348646 
data(p206):el_salvador_aid(A,n):-0.3307540352148321 
data(p206):religious_groups_in_schools(A,y):0.24661613098345006 
data(p206):anti_satellite_test_ban(A,y):-0.1987878674853403 
data(p206):aid_to_nicaraguan_contras(A,y):0.40744566294372775 
data(p206):mx_missile(A,y):1.6527699030128502 
data(p206):immigration(A,y):-0.7486564598592806 
data(p206):synfuels_corporation_cutback(A,n):-1.2503471284417198 
data(p206):education_spending(A,y):0.8225847971444512 
data(p206):superfund_right_to_sue(A,n):0.4356026332869452 
data(p206):crime(A,n):0.21350598749219107 
data(p206):duty_free_exports(A,n):-0.5362244133305811 
data(p206):export_administration_act_south_africa(A,y):-0.37675064348907844 
data(p135):handicapped_infants(A,n):0.4903268306407184 
data(p135):water_project_cost_sharing(A,n):-0.10011742550023522 
data(p135):budget_resolution(A,n):-0.9950204039213277 
data(p135):physician_fee_freeze(A,y):-4.737194262453752 
data(p135):el_salvador_aid(A,y):-0.2040834197207329 
data(p135):religious_groups_in_schools(A,y):0.19550730477721076 
data(p135):anti_satellite_test_ban(A,n):-0.304245866757893 
data(p135):aid_to_nicaraguan_contras(A,n):2.2912521402501786 
data(p135):mx_missile(A,n):0.11737565376833214 
data(p135):immigration(A,n):0.6542839162590246 
data(p135):synfuels_corporation_cutback(A,n):-1.235389572530339 
data(p135):education_spending(A,y):0.8875370208418577 
data(p135):superfund_right_to_sue(A,y):-0.11219747072745255 
data(p135):crime(A,y):0.06110739199597015 
data(p135):duty_free_exports(A,n):-0.3370882746652618 
data(p117):handicapped_infants(A,y):0.210088751151317 
data(p117):water_project_cost_sharing(A,n):-0.1827423392917261 
data(p117):budget_resolution(A,y):0.981517298302393 
data(p117):physician_fee_freeze(A,n):1.3761152537275785 
data(p117):el_salvador_aid(A,n):-0.3180022778542086 
data(p117):religious_groups_in_schools(A,n):-0.2842968058592169 
data(p117):anti_satellite_test_ban(A,y):-0.1900033990948823 
data(p117):aid_to_nicaraguan_contras(A,y):0.4036130306436024 
data(p117):mx_missile(A,y):1.7208704784424265 
data(p117):immigration(A,n):0.6629647059974056 
data(p117):synfuels_corporation_cutback(A,y):0.2394354586244101 
data(p117):education_spending(A,n):1.1899130894682532 
data(p117):superfund_right_to_sue(A,n):0.4358220561331681 
data(p117):crime(A,n):0.15705210380245724 
data(p117):duty_free_exports(A,y):0.1130244950805846 
data(p117):export_administration_act_south_africa(A,y):-0.3844549633419421 
data(p213):handicapped_infants(A,n):0.4728705852067466 
data(p213):water_project_cost_sharing(A,n):-0.1827423392917261 
data(p213):budget_resolution(A,y):0.9881484397256155 
data(p213):physician_fee_freeze(A,n):1.3854529753111058 
data(p213):el_salvador_aid(A,n):-0.31706768164493093 
data(p213):religious_groups_in_schools(A,n):-0.2842968058592169 
data(p213):anti_satellite_test_ban(A,y):-0.18650171006246366 
data(p213):aid_to_nicaraguan_contras(A,y):0.4087022697217801 
data(p213):mx_missile(A,y):1.742667198387851 
data(p213):immigration(A,n):0.5810920128413035 
data(p213):synfuels_corporation_cutback(A,y):0.21329198207927771 
data(p213):education_spending(A,n):1.1933928264321672 
data(p213):superfund_right_to_sue(A,n):0.4395783476667993 
data(p213):crime(A,n):0.15718422936834797 
data(p213):duty_free_exports(A,y):0.1130244950805846 
data(p213):export_administration_act_south_africa(A,y):-0.3872059073661929 
data(p392):handicapped_infants(A,y):0.20491745590961002 
data(p392):water_project_cost_sharing(A,y):1.7081234535800627 
data(p392):budget_resolution(A,n):-0.9150964101910886 
data(p392):physician_fee_freeze(A,n):1.386289798716814 
data(p392):el_salvador_aid(A,n):-0.30402802016168073 
data(p392):religious_groups_in_schools(A,n):-0.27962638142523877 
data(p392):anti_satellite_test_ban(A,n):-0.3334371650839979 
data(p392):aid_to_nicaraguan_contras(A,y):0.43217764109071855 
data(p392):mx_missile(A,y):1.7799720365051233 
data(p392):immigration(A,n):0.7285054196332771 
data(p392):synfuels_corporation_cutback(A,y):0.29378746246092113 
data(p392):education_spending(A,n):1.2612207149507995 
